date,hour,day_x,weekday_x,month_x,weekend_x,season_x,EP_lag_1,EP_lag_24,DAHTL_TotalLoadValue,DAHTL_lag_1h,DAHTL_lag_24h,ATL_TotalLoadValue,ATL_lag_1h,ATL_lag_24h,Biomass_Capacity,Biomass_Output,Biomass_Utilization,Fossil_Gas_Capacity,Fossil_Gas_Output,Fossil_Gas_Utilization,Fossil_Oil_Capacity,Fossil_Oil_Output,Fossil_Oil_Utilization,Hydro_Water_Reservoir_Capacity,Hydro_Water_Reservoir_Output,Hydro_Water_Reservoir_Utilization,Nuclear_Capacity,Nuclear_Output,Nuclear_Utilization,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation,temperature_2m_lag1,wind_speed_10m_lag1,wind_direction_10m_lag1,cloudcover_lag1,shortwave_radiation_lag1,temperature_2m_lag24,wind_speed_10m_lag24,wind_direction_10m_lag24,cloudcover_lag24,shortwave_radiation_lag24,Natural_Gas_price_EUR,Natural_Gas_price_EUR_lag_1d,Coal_price_EUR,Coal_price_EUR_lag_1d,Oil_price_EUR,Oil_price_EUR_lag_1d,Carbon_Emission_price_EUR,Carbon_Emission_price_EUR_lag_1d,Electricity_price_MWh
2025-01-01 00:00:00,0,1,2,1,0,0,0.0,0.0,9651.0,0.0,0.0,9658.0,0.0,0.0,236.0,0.47,0.0019915254237288,250.0,0.23,0.00092,200.0,0.0,0.0,330.0,14.21,0.043060606060606,6671.0,5811.72,0.871191725378504,-1.8295,20.765064,113.379715,100.0,0.0,-2.2294998,17.721504,113.45804,100.0,0.0,-2.6295,9.3664665,283.76196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47
2025-01-01 01:00:00,1,1,2,1,0,0,2.47,0.0,9497.0,9651.0,0.0,9417.0,9658.0,0.0,236.0,0.35,0.0014830508474576,250.0,0.23,0.00092,200.0,0.0,0.0,330.0,23.84,0.0722424242424242,6671.0,5812.94,0.8713746065057711,-1.0045,19.753082,109.784,100.0,0.0,-1.8295,20.765064,113.379715,100.0,0.0,-3.2545,9.847542,281.4045,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44
2025-01-01 02:00:00,2,1,2,1,0,0,2.44,0.0,9395.0,9497.0,0.0,9195.0,9417.0,0.0,236.0,0.32,0.0013559322033898,250.0,0.22,0.00088,200.0,0.0,0.0,330.0,18.88,0.0572121212121212,6671.0,5812.51,0.8713101484035377,-0.9545,13.897116,94.45749,100.0,0.0,-1.0045,19.753082,109.784,100.0,0.0,-3.5545,12.150634,271.65424,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98
2025-01-01 03:00:00,3,1,2,1,0,0,1.98,0.0,9321.0,9395.0,0.0,9119.0,9195.0,0.0,236.0,0.43,0.001822033898305,250.0,0.23,0.00092,200.0,0.0,0.0,330.0,25.31,0.0766969696969697,6671.0,5812.27,0.8712741717883377,-0.50450003,12.2674675,124.68515,100.0,0.0,-0.9545,13.897116,94.45749,100.0,0.0,-3.4045,13.1824,280.07397,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79
2025-01-01 04:00:00,4,1,2,1,0,0,1.79,0.0,9368.0,9321.0,0.0,9231.0,9119.0,0.0,236.0,0.37,0.0015677966101694,250.0,0.23,0.00092,200.0,0.0,0.0,330.0,21.18,0.0641818181818181,6671.0,5812.450000000001,0.8713011542497378,0.070500135,13.102611,132.42181,100.0,0.0,-0.50450003,12.2674675,124.68515,100.0,0.0,-3.2045,12.0829735,272.91098,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71
2025-01-01 05:00:00,5,1,2,1,0,0,2.71,0.0,9532.0,9368.0,0.0,9452.0,9231.0,0.0,236.0,0.36,0.0015254237288135,250.0,0.23,0.00092,200.0,0.0,0.0,330.0,8.02,0.0243030303030303,6671.0,5812.51,0.8713101484035377,0.04550004,13.044469,129.65166,100.0,0.0,0.04550004,13.044469,129.65166,100.0,0.0,-2.1795,10.692917,264.90735,89.5,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78
2025-01-01 06:00:00,6,1,2,1,0,0,1.78,0.0,9722.0,9532.0,0.0,9585.0,9452.0,0.0,236.0,0.35,0.0014830508474576,250.0,0.23,0.00092,200.0,0.0,0.0,330.0,5.49,0.0166363636363636,6671.0,5811.43,0.8711482536351373,-0.2795,10.3288765,140.3955,100.0,0.0,0.04550004,13.044469,129.65166,100.0,0.0,-1.7544999,10.171223,256.9674,87.0,95.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03
2025-01-01 07:00:00,7,1,2,1,0,0,2.03,0.0,9961.0,9722.0,0.0,9736.0,9585.0,0.0,236.0,0.35,0.0014830508474576,250.0,0.23,0.00092,200.0,0.0,0.0,330.0,16.79,0.0508787878787878,6671.0,5812.56,0.8713176435317043,-0.6294999,9.495223,309.77667,100.0,0.0,-0.2795,10.3288765,140.3955,100.0,0.0,-2.9794998,8.012583,269.27737,95.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92
2025-01-01 08:00:00,8,1,2,1,0,0,2.92,0.0,10217.0,9961.0,0.0,10028.0,9736.0,0.0,236.0,0.36,0.0015254237288135,250.0,0.23,0.00092,200.0,0.0,0.0,330.0,10.33,0.0313030303030303,6671.0,5813.24,0.8714195772747714,-0.7545,11.686474,148.26068,100.0,0.0,-0.6294999,9.495223,309.77667,100.0,0.0,-4.1545,4.9392824,244.02094,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27
2025-01-01 09:00:00,9,1,2,1,0,0,3.27,0.0,10456.0,10217.0,0.0,10402.0,10028.0,0.0,236.0,0.29,0.001228813559322,250.0,0.23,0.00092,200.0,0.0,0.0,330.0,18.46,0.0559393939393939,6671.0,5812.85,0.8713611152750712,-0.8795,10.603148,152.93349,100.0,0.0,-0.7545,11.686474,148.26068,100.0,0.0,-3.0795,4.6805124,180.84856,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29
