date,hour,day_x,weekday_x,month_x,weekend_x,season_x,ftc_IT-CNORTH,ftc_IT-Sardinia,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation,temperature_2m_lag1,wind_speed_10m_lag1,wind_direction_10m_lag1,cloudcover_lag1,shortwave_radiation_lag1,temperature_2m_lag24,wind_speed_10m_lag24,wind_direction_10m_lag24,cloudcover_lag24,shortwave_radiation_lag24,Natural_Gas_price_EUR,Natural_Gas_price_EUR_lag_1d,Coal_price_EUR,Coal_price_EUR_lag_1d,Oil_price_EUR,Oil_price_EUR_lag_1d,Carbon_Emission_price_EUR,Carbon_Emission_price_EUR_lag_1d,Electricity_price_MWh
2025-01-01 00:00:00,0,1,2,1,0,0,150.0,150.0,9.25325,8.033473,65.62878,21.0,0.0,9.553249,8.730714,72.0197,35.0,0.0,8.47825,6.579365,76.47246,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 01:00:00,1,1,2,1,0,0,150.0,150.0,9.02825,6.713573,64.236755,31.5,0.0,9.25325,8.033473,65.62878,21.0,0.0,7.8032494,7.897358,58.17947,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 02:00:00,2,1,2,1,0,0,150.0,150.0,8.77825,9.105522,213.77321,43.5,0.0,9.02825,6.713573,64.236755,31.5,0.0,7.2782497,8.25526,228.77911,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 03:00:00,3,1,2,1,0,0,150.0,150.0,8.72825,8.489362,201.9009,66.5,0.0,8.77825,9.105522,213.77321,43.5,0.0,7.0282497,7.767971,216.21742,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 04:00:00,4,1,2,1,0,0,150.0,150.0,8.62825,9.586306,208.74121,53.5,0.0,8.72825,8.489362,201.9009,66.5,0.0,7.2782497,7.358041,216.81848,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 05:00:00,5,1,2,1,0,0,150.0,150.0,8.35325,9.235519,204.07152,43.0,0.0,8.35325,9.235519,204.07152,43.0,0.0,12.52825,6.901637,172.04623,25.5,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 06:00:00,6,1,2,1,0,0,150.0,150.0,8.20325,8.241849,204.20743,45.0,0.0,8.35325,9.235519,204.07152,43.0,0.0,13.75325,5.02044,164.34586,21.5,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 07:00:00,7,1,2,1,0,0,150.0,150.0,8.17825,8.3231945,211.54965,50.5,0.0,8.20325,8.241849,204.20743,45.0,0.0,15.30325,4.930727,167.95169,35.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 08:00:00,8,1,2,1,0,0,150.0,150.0,8.12825,8.428542,206.95757,42.5,1.0,8.17825,8.3231945,211.54965,50.5,0.0,15.12825,8.911257,172.17886,10.5,183.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 09:00:00,9,1,2,1,0,0,150.0,150.0,9.57825,8.865263,194.82777,43.5,58.5,8.12825,8.428542,206.95757,42.5,1.0,12.90325,8.408198,127.3704,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 10:00:00,10,1,2,1,0,0,150.0,150.0,11.55325,5.7462025,168.55472,38.0,171.5,11.55325,5.7462025,168.55472,38.0,171.5,10.30325,8.266829,87.188,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 11:00:00,11,1,2,1,0,0,150.0,150.0,13.27825,4.293946,115.42447,15.5,282.5,13.27825,4.293946,115.42447,15.5,282.5,9.553249,8.730714,72.0197,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 12:00:00,12,1,2,1,0,0,150.0,150.0,14.553249,5.985756,94.879776,7.0,371.0,13.27825,4.293946,115.42447,15.5,282.5,9.25325,8.033473,65.62878,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 13:00:00,13,1,2,1,0,0,150.0,150.0,15.2282505,8.542905,123.81935,18.0,409.0,14.553249,5.985756,94.879776,7.0,371.0,9.02825,6.713573,64.236755,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 14:00:00,14,1,2,1,0,0,150.0,150.0,14.70325,10.196944,130.12485,27.5,333.0,15.2282505,8.542905,123.81935,18.0,409.0,8.77825,9.105522,213.77321,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 15:00:00,15,1,2,1,0,0,150.0,150.0,14.9782505,10.435289,129.47137,14.0,290.5,14.70325,10.196944,130.12485,27.5,333.0,8.72825,8.489362,201.9009,66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 16:00:00,16,1,2,1,0,0,150.0,150.0,14.7282505,8.113894,129.49283,15.0,185.5,14.9782505,10.435289,129.47137,14.0,290.5,8.62825,9.586306,208.74121,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 17:00:00,17,1,2,1,0,0,150.0,150.0,13.45325,7.015085,122.72179,15.5,61.5,13.45325,7.015085,122.72179,15.5,61.5,8.35325,9.235519,204.07152,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 18:00:00,18,1,2,1,0,0,150.0,150.0,12.50325,7.755278,100.252106,11.0,0.0,13.45325,7.015085,122.72179,15.5,61.5,8.20325,8.241849,204.20743,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 19:00:00,19,1,2,1,0,0,150.0,150.0,11.65325,7.4117746,93.540344,6.5,0.0,12.50325,7.755278,100.252106,11.0,0.0,8.17825,8.3231945,211.54965,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 20:00:00,20,1,2,1,0,0,150.0,150.0,10.70325,7.434087,88.21532,5.0,0.0,11.65325,7.4117746,93.540344,6.5,0.0,8.12825,8.428542,206.95757,42.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 21:00:00,21,1,2,1,0,0,150.0,150.0,9.97825,7.7125983,81.721054,6.0,0.0,10.70325,7.434087,88.21532,5.0,0.0,9.57825,8.865263,194.82777,43.5,58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 22:00:00,22,1,2,1,0,0,150.0,150.0,9.32825,8.223701,75.24538,10.0,0.0,9.32825,8.223701,75.24538,10.0,0.0,11.55325,5.7462025,168.55472,38.0,171.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 23:00:00,23,1,2,1,0,0,150.0,150.0,9.15325,7.912195,68.35833,14.5,0.0,9.32825,8.223701,75.24538,10.0,0.0,13.27825,4.293946,115.42447,15.5,282.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-02 00:00:00,0,2,3,1,0,0,150.0,150.0,8.65325,7.7893977,57.13752,13.5,0.0,9.15325,7.912195,68.35833,14.5,0.0,13.27825,4.293946,115.42447,15.5,282.5,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 01:00:00,1,2,3,1,0,0,150.0,150.0,8.178249,7.6508822,45.56164,9.0,0.0,8.65325,7.7893977,57.13752,13.5,0.0,14.553249,5.985756,94.879776,7.0,371.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 02:00:00,2,2,3,1,0,0,150.0,150.0,8.553249,7.7729406,220.82686,26.0,0.0,8.178249,7.6508822,45.56164,9.0,0.0,14.553249,5.985756,94.879776,7.0,371.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 03:00:00,3,2,3,1,0,0,150.0,150.0,8.303249,8.138183,214.78354,26.0,0.0,8.553249,7.7729406,220.82686,26.0,0.0,15.2282505,8.542905,123.81935,18.0,409.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 04:00:00,4,2,3,1,0,0,150.0,150.0,8.303249,8.314089,213.195,25.5,0.0,8.303249,8.138183,214.78354,26.0,0.0,15.2282505,8.542905,123.81935,18.0,409.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 05:00:00,5,2,3,1,0,0,150.0,150.0,8.15325,7.815686,211.77008,16.5,0.0,8.303249,8.314089,213.195,25.5,0.0,14.70325,10.196944,130.12485,27.5,333.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 06:00:00,6,2,3,1,0,0,150.0,150.0,7.87825,7.8899903,215.63652,14.0,0.0,8.15325,7.815686,211.77008,16.5,0.0,14.70325,10.196944,130.12485,27.5,333.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 07:00:00,7,2,3,1,0,0,150.0,150.0,7.62825,8.038907,217.22911,12.0,0.0,7.87825,7.8899903,215.63652,14.0,0.0,14.9782505,10.435289,129.47137,14.0,290.5,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 08:00:00,8,2,3,1,0,0,150.0,150.0,7.37825,8.336689,214.89978,15.0,1.0,7.62825,8.038907,217.22911,12.0,0.0,14.9782505,10.435289,129.47137,14.0,290.5,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 09:00:00,9,2,3,1,0,0,150.0,150.0,8.85325,9.281073,212.71553,17.5,60.0,7.37825,8.336689,214.89978,15.0,1.0,14.7282505,8.113894,129.49283,15.0,185.5,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 10:00:00,10,2,3,1,0,0,150.0,150.0,10.92825,8.306632,202.18352,16.5,185.0,8.85325,9.281073,212.71553,17.5,60.0,14.7282505,8.113894,129.49283,15.0,185.5,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 11:00:00,11,2,3,1,0,0,150.0,150.0,12.4782505,5.973118,192.48291,17.5,306.5,10.92825,8.306632,202.18352,16.5,185.0,13.45325,7.015085,122.72179,15.5,61.5,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 12:00:00,12,2,3,1,0,0,150.0,150.0,13.52825,3.814034,230.9108,15.0,379.5,12.4782505,5.973118,192.48291,17.5,306.5,13.45325,7.015085,122.72179,15.5,61.5,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 13:00:00,13,2,3,1,0,0,150.0,150.0,14.20325,2.8297198,275.8167,5.0,422.0,13.52825,3.814034,230.9108,15.0,379.5,12.50325,7.755278,100.252106,11.0,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 14:00:00,14,2,3,1,0,0,150.0,150.0,14.70325,4.357484,195.85712,10.0,396.0,14.20325,2.8297198,275.8167,5.0,422.0,12.50325,7.755278,100.252106,11.0,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 15:00:00,15,2,3,1,0,0,150.0,150.0,14.55325,6.206237,209.2279,5.5,311.5,14.70325,4.357484,195.85712,10.0,396.0,11.65325,7.4117746,93.540344,6.5,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 16:00:00,16,2,3,1,0,0,150.0,150.0,14.15325,5.9633026,212.24469,1.5,196.5,14.55325,6.206237,209.2279,5.5,311.5,11.65325,7.4117746,93.540344,6.5,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 17:00:00,17,2,3,1,0,0,150.0,150.0,12.90325,4.2399025,213.25073,2.5,66.0,14.15325,5.9633026,212.24469,1.5,196.5,10.70325,7.434087,88.21532,5.0,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
