date,hour,day_x,weekday_x,month_x,weekend_x,season_x,EP_lag_1,EP_lag_24,ftc_CH,ftc_DK1,ftc_NL,Fossil_Brown_coal_Lignite_Capacity,Fossil_Brown_coal_Lignite_Output,Fossil_Brown_coal_Lignite_Utilization,Fossil_Coal_derived_gas_Capacity,Fossil_Coal_derived_gas_Output,Fossil_Coal_derived_gas_Utilization,Fossil_Gas_Capacity,Fossil_Gas_Output,Fossil_Gas_Utilization,Fossil_Hard_coal_Capacity,Fossil_Hard_coal_Output,Fossil_Hard_coal_Utilization,Fossil_Oil_Capacity,Fossil_Oil_Output,Fossil_Oil_Utilization,Hydro_Pumped_Storage_Capacity,Hydro_Pumped_Storage_Output,Hydro_Pumped_Storage_Utilization,Hydro_Run_of_river_and_poundage_Capacity,Hydro_Run_of_river_and_poundage_Output,Hydro_Run_of_river_and_poundage_Utilization,Hydro_Water_Reservoir_Capacity,Hydro_Water_Reservoir_Output,Hydro_Water_Reservoir_Utilization,Waste_Capacity,Waste_Output,Waste_Utilization,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation,temperature_2m_lag1,wind_speed_10m_lag1,wind_direction_10m_lag1,cloudcover_lag1,shortwave_radiation_lag1,temperature_2m_lag24,wind_speed_10m_lag24,wind_direction_10m_lag24,cloudcover_lag24,shortwave_radiation_lag24,Natural_Gas_price_EUR,Natural_Gas_price_EUR_lag_1d,Coal_price_EUR,Coal_price_EUR_lag_1d,Oil_price_EUR,Oil_price_EUR_lag_1d,Carbon_Emission_price_EUR,Carbon_Emission_price_EUR_lag_1d,Electricity_price_MWh
2025-01-01 00:00:00,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,800.0,2500.0,1081.0,14294.0,3653.06,0.2555659717363929,1090.0,549.7,0.5043119266055046,15993.0,2013.69,0.1259107109360345,11653.1,2037.23,0.1748230084698492,370.0,159.0,0.4297297297297297,6915.0,178.11,0.0257570498915401,464.3,169.73000000000002,0.3655610596597028,500.0,0.0,0.0,109.0,32.58,0.2988990825688073,1.3736668,16.265251,219.33565,66.666664,0.0,1.3903333,16.429491,220.446,66.666664,0.0,-1.6263332,10.217951,219.2275,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
2025-01-01 01:00:00,1.0,1.0,2.0,1.0,0.0,0.0,1.6,0.0,800.0,2500.0,1081.0,14294.0,3229.28,0.225918567231006,1090.0,498.85,0.4576605504587156,15993.0,1858.75,0.1162227224410679,11653.1,2047.31,0.1756880143481133,370.0,159.25,0.4304054054054054,6915.0,28.81,0.0041663051337671,464.3,173.13,0.3728839112642688,500.0,0.0,0.0,109.0,29.8,0.273394495412844,1.5403334,16.349857,222.03291,66.666664,0.0,1.3736668,16.265251,219.33565,66.666664,0.0,-0.95966667,9.798532,219.95488,48.666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 02:00:00,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,800.0,2500.0,1081.0,14294.0,3179.33,0.2224240940254652,1090.0,479.38,0.4397981651376146,15993.0,1801.0,0.1126117676483461,11653.1,1993.99,0.1711124078571367,370.0,159.5,0.431081081081081,6915.0,22.32,0.0032277657266811,464.3,173.76,0.3742407925909972,500.0,0.0,0.0,109.0,35.18,0.3227522935779816,1.7070001,16.617558,227.61632,66.666664,0.0,1.5403334,16.349857,222.03291,66.666664,0.0,-1.5263333,9.422229,222.76686,50.333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01
2025-01-01 03:00:00,3.0,1.0,2.0,1.0,0.0,0.0,-0.01,0.0,800.0,2500.0,1081.0,14294.0,3203.6,0.2241220092346439,1090.0,466.28,0.4277798165137614,15993.0,1742.02,0.108923904208091,11653.1,1959.84,0.168181857188216,370.0,159.5,0.431081081081081,6915.0,2.58,0.0003731019522776,464.3,170.06,0.3662718070213224,500.0,0.0,0.0,109.0,34.73,0.3186238532110091,1.7403332,15.675918,229.56458,66.666664,0.0,1.7070001,16.617558,227.61632,66.666664,0.0,-1.8096666,9.454038,219.96568,81.333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01
2025-01-01 04:00:00,4.0,1.0,2.0,1.0,0.0,0.0,-0.01,0.0,800.0,2500.0,1081.0,14294.0,3192.15,0.2233209738351756,1090.0,468.8,0.430091743119266,15993.0,1614.36,0.1009416619771149,11653.1,1854.17,0.1591138838592306,370.0,159.0,0.4297297297297297,6915.0,0.03,4.338394793926247e-06,464.3,165.67000000000002,0.3568167133318975,500.0,0.0,0.0,109.0,36.15,0.3316513761467889,1.9070001,16.429922,221.89189,66.666664,0.0,1.7403332,15.675918,229.56458,66.666664,0.0,-1.5763334,10.372063,219.09972,78.666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06
2025-01-01 05:00:00,5.0,1.0,2.0,1.0,0.0,0.0,-0.06,0.0,800.0,2500.0,1081.0,14294.0,3193.66,0.2234266125647124,1090.0,459.58,0.4216330275229358,15993.0,1611.53,0.1007647095604327,11653.1,1843.29,0.1581802267207867,370.0,159.0,0.4297297297297297,6915.0,16.08,0.0023253796095444,464.3,166.26,0.358087443463278,500.0,0.0,0.0,109.0,37.3,0.3422018348623853,2.2403333,17.128153,224.8907,66.666664,0.0,2.2403333,17.128153,224.8907,66.666664,0.0,1.157,9.593594,222.90816,58.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09
2025-01-01 06:00:00,6.0,1.0,2.0,1.0,0.0,0.0,-0.09,0.0,800.0,2500.0,1081.0,14294.0,3218.51,0.225165104239541,1090.0,452.05,0.4147247706422018,15993.0,1663.56,0.1040180078784468,11653.1,1587.46,0.1362264118560726,370.0,159.25,0.4304054054054054,6915.0,27.590000000000003,0.0039898770788141,464.3,164.04000000000002,0.3533060521214732,500.0,0.0,0.0,109.0,40.68,0.3732110091743119,2.3736668,17.490086,221.22716,66.666664,0.0,2.2403333,17.128153,224.8907,66.666664,0.0,2.1236668,8.802448,223.39641,39.333332,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01
2025-01-01 07:00:00,7.0,1.0,2.0,1.0,0.0,0.0,-0.01,0.0,800.0,2500.0,1081.0,14294.0,3199.03,0.2238022946690919,1090.0,451.43,0.4141559633027523,15993.0,1471.72,0.0920227599574814,11653.1,1335.07,0.1145677974101312,370.0,159.5,0.431081081081081,6915.0,47.96,0.00693564714389,464.3,159.91,0.3444109412018091,500.0,0.0,0.0,109.0,41.0,0.3761467889908257,2.473667,18.332973,218.78197,89.333336,0.0,2.3736668,17.490086,221.22716,66.666664,0.0,2.7903335,8.846372,173.54216,34.666668,171.66667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01
2025-01-01 08:00:00,8.0,1.0,2.0,1.0,0.0,0.0,-0.01,0.0,800.0,2500.0,1081.0,14294.0,3195.51,0.223556037498251,1090.0,488.88,0.4485137614678899,15993.0,1442.68,0.090206965547427,11653.1,1227.22,0.1053127493971561,370.0,159.25,0.4304054054054054,6915.0,36.66,0.0053015184381778,464.3,165.18,0.3557613611888865,500.0,0.0,0.0,109.0,44.38,0.4071559633027523,2.3903334,17.703077,218.75734,92.0,0.0,2.473667,18.332973,218.78197,89.333336,0.0,1.8070002,8.752181,212.30963,36.666668,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04
2025-01-01 09:00:00,9.0,1.0,2.0,1.0,0.0,0.0,-0.04,0.0,800.0,2500.0,1081.0,14294.0,3251.38,0.2274646704911151,1090.0,512.83,0.4704862385321101,15993.0,1401.83,0.0876527230663415,11653.1,1243.54,0.1067132351048218,370.0,159.25,0.4304054054054054,6915.0,37.09,0.0053637020968908,464.3,166.78,0.3592074090027999,500.0,0.0,0.0,109.0,43.05,0.3949541284403669,2.5236666,17.612377,220.79309,83.666664,13.666667,2.3903334,17.703077,218.75734,92.0,0.0,1.1236666,12.522622,228.30049,64.666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03
