date,hour,day_x,weekday_x,month_x,weekend_x,season_x,EP_lag_1,EP_lag_24,DAHTL_TotalLoadValue,DAHTL_lag_1h,DAHTL_lag_24h,ATL_TotalLoadValue,ATL_lag_1h,ATL_lag_24h,Hydro_Water_Reservoir_Capacity,Hydro_Water_Reservoir_Output,Hydro_Water_Reservoir_Utilization,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation,temperature_2m_lag1,wind_speed_10m_lag1,wind_direction_10m_lag1,cloudcover_lag1,shortwave_radiation_lag1,temperature_2m_lag24,wind_speed_10m_lag24,wind_direction_10m_lag24,cloudcover_lag24,shortwave_radiation_lag24,Natural_Gas_price_EUR,Natural_Gas_price_EUR_lag_1d,Coal_price_EUR,Coal_price_EUR_lag_1d,Oil_price_EUR,Oil_price_EUR_lag_1d,Carbon_Emission_price_EUR,Carbon_Emission_price_EUR_lag_1d,Electricity_price_MWh
2025-01-01 00:00:00,0,1,2,1,0,0,0.0,0.0,2169.0,0.0,0.0,1791.0,0.0,0.0,699.0,251.33,0.3595565092989986,-11.470751,8.836961,270.6053,81.0,0.0,-11.27075,7.8148685,258.15793,59.5,0.0,-3.62075,23.637564,283.8913,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69
2025-01-01 01:00:00,1,1,2,1,0,0,3.69,0.0,2163.0,2169.0,0.0,1863.0,1791.0,0.0,699.0,266.6,0.3814020028612304,-11.82075,6.7551203,274.99896,79.5,0.0,-11.470751,8.836961,270.6053,81.0,0.0,-4.09575,21.626087,289.32983,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55
2025-01-01 02:00:00,2,1,2,1,0,0,3.55,0.0,2151.0,2163.0,0.0,1939.0,1863.0,0.0,699.0,253.23,0.362274678111588,-13.345751,8.166426,291.58,72.5,0.0,-11.82075,6.7551203,274.99896,79.5,0.0,-4.72075,20.95304,288.9973,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19
2025-01-01 03:00:00,3,1,2,1,0,0,3.19,0.0,2169.0,2151.0,0.0,1992.0,1939.0,0.0,699.0,267.63,0.3828755364806867,-13.720751,7.4956007,286.10736,58.0,0.0,-13.345751,8.166426,291.58,72.5,0.0,-4.7957497,20.620852,291.924,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15
2025-01-01 04:00:00,4,1,2,1,0,0,3.15,0.0,2165.0,2169.0,0.0,1972.0,1992.0,0.0,699.0,267.08,0.3820886981402002,-13.79575,7.0491343,280.8625,59.5,0.0,-13.720751,7.4956007,286.10736,58.0,0.0,-5.02075,20.767248,295.98288,93.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68
2025-01-01 05:00:00,5,1,2,1,0,0,3.68,0.0,2225.0,2165.0,0.0,2174.0,1972.0,0.0,699.0,244.47,0.3497424892703862,-13.82075,6.351431,273.59128,73.5,0.0,-13.82075,6.351431,273.59128,73.5,0.0,-5.22075,19.403769,300.35425,29.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21
2025-01-01 06:00:00,6,1,2,1,0,0,3.21,0.0,2306.0,2225.0,0.0,2242.0,2174.0,0.0,699.0,237.1,0.3391988555078684,-14.44575,5.957678,276.78516,76.0,0.0,-13.82075,6.351431,273.59128,73.5,0.0,-5.22075,19.814905,301.74814,25.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48
2025-01-01 07:00:00,7,1,2,1,0,0,3.48,0.0,2356.0,2306.0,0.0,2425.0,2242.0,0.0,699.0,364.53,0.5215021459227468,-14.39575,5.2672205,276.73254,69.5,0.0,-14.44575,5.957678,276.78516,76.0,0.0,-5.74575,18.67249,303.96448,0.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32
2025-01-01 08:00:00,8,1,2,1,0,0,4.32,0.0,2384.0,2356.0,0.0,2212.0,2425.0,0.0,699.0,371.75,0.5318311874105865,-14.69575,5.4631176,276.97668,31.5,0.0,-14.39575,5.2672205,276.73254,69.5,0.0,-7.0707498,16.901424,300.33746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.77
2025-01-01 09:00:00,9,1,2,1,0,0,4.77,0.0,2390.0,2384.0,0.0,2339.0,2212.0,0.0,699.0,371.44,0.5313876967095851,-15.070749,4.9272795,274.4197,32.0,0.0,-14.69575,5.4631176,276.97668,31.5,0.0,-7.9707503,13.789745,300.05963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89
2025-01-01 10:00:00,10,1,2,1,0,0,5.89,0.0,2408.0,2390.0,0.0,2387.0,2339.0,0.0,699.0,375.1,0.5366237482117311,-15.54575,5.8525558,290.28998,32.5,0.5,-15.54575,5.8525558,290.28998,32.5,0.5,-10.045751,9.113687,250.38824,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.98
2025-01-01 11:00:00,11,1,2,1,0,0,5.98,0.0,2396.0,2408.0,0.0,2340.0,2387.0,0.0,699.0,411.71,0.5889985693848355,-15.74575,6.2904778,304.09933,36.5,13.0,-15.74575,6.2904778,304.09933,36.5,13.0,-11.27075,7.8148685,258.15793,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9
2025-01-01 12:00:00,12,1,2,1,0,0,5.9,0.0,2407.0,2396.0,0.0,2137.0,2340.0,0.0,699.0,410.96,0.587925608011445,-15.84575,5.2890444,323.4464,40.5,23.0,-15.74575,6.2904778,304.09933,36.5,13.0,-11.470751,8.836961,270.6053,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.94
2025-01-01 13:00:00,13,1,2,1,0,0,5.94,0.0,2443.0,2407.0,0.0,1863.0,2137.0,0.0,699.0,397.1,0.5680972818311875,-15.92075,5.182269,328.40607,39.5,17.0,-15.84575,5.2890444,323.4464,40.5,23.0,-11.82075,6.7551203,274.99896,79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28
2025-01-01 14:00:00,14,1,2,1,0,0,7.28,0.0,2514.0,2443.0,0.0,1571.0,1863.0,0.0,699.0,397.58,0.5687839771101574,-17.970749,9.129,323.13586,96.5,3.0,-15.92075,5.182269,328.40607,39.5,17.0,-13.345751,8.166426,291.58,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.37
2025-01-01 15:00:00,15,1,2,1,0,0,12.37,0.0,2553.0,2514.0,0.0,1589.0,1571.0,0.0,699.0,411.0,0.5879828326180258,-18.095749,10.960093,320.27783,91.5,0.0,-17.970749,9.129,323.13586,96.5,3.0,-13.720751,7.4956007,286.10736,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.85
2025-01-01 16:00:00,16,1,2,1,0,0,17.85,0.0,2554.0,2553.0,0.0,1764.0,1589.0,0.0,699.0,413.67,0.5918025751072961,-17.74575,12.85751,324.43408,90.0,0.0,-18.095749,10.960093,320.27783,91.5,0.0,-13.79575,7.0491343,280.8625,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.87
2025-01-01 17:00:00,17,1,2,1,0,0,18.87,0.0,2506.0,2554.0,0.0,1811.0,1764.0,0.0,699.0,424.98,0.6079828326180258,-17.37075,11.001148,336.37714,74.0,0.0,-17.37075,11.001148,336.37714,74.0,0.0,-13.82075,6.351431,273.59128,73.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.98
2025-01-01 18:00:00,18,1,2,1,0,0,14.98,0.0,2485.0,2506.0,0.0,1886.0,1811.0,0.0,699.0,424.9,0.607868383404864,-17.320751,11.061451,337.25076,52.0,0.0,-17.37075,11.001148,336.37714,74.0,0.0,-14.44575,5.957678,276.78516,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.78
2025-01-01 19:00:00,19,1,2,1,0,0,9.78,0.0,2421.0,2485.0,0.0,1750.0,1886.0,0.0,699.0,425.0,0.6080114449213162,-17.04575,10.1296425,342.87897,50.5,0.0,-17.320751,11.061451,337.25076,52.0,0.0,-14.39575,5.2672205,276.73254,69.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.21
2025-01-01 20:00:00,20,1,2,1,0,0,8.21,0.0,2352.0,2421.0,0.0,1717.0,1750.0,0.0,699.0,342.86,0.4905007153075822,-16.57075,10.462724,345.28784,66.5,0.0,-17.04575,10.1296425,342.87897,50.5,0.0,-14.69575,5.4631176,276.97668,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.19
2025-01-01 21:00:00,21,1,2,1,0,0,7.19,0.0,2296.0,2352.0,0.0,1867.0,1717.0,0.0,699.0,306.14,0.4379685264663805,-16.220749,10.551484,340.09723,77.5,0.0,-16.57075,10.462724,345.28784,66.5,0.0,-15.070749,4.9272795,274.4197,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.26
2025-01-01 22:00:00,22,1,2,1,0,0,9.26,0.0,2236.0,2296.0,0.0,1718.0,1867.0,0.0,699.0,289.09000000000003,0.4135765379113019,-15.87075,10.883577,339.348,81.0,0.0,-15.87075,10.883577,339.348,81.0,0.0,-15.54575,5.8525558,290.28998,32.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1
2025-01-01 23:00:00,23,1,2,1,0,0,7.1,0.0,2179.0,2236.0,0.0,1939.0,1718.0,0.0,699.0,247.71,0.3543776824034335,-15.370749,10.67993,337.73477,94.0,0.0,-15.87075,10.883577,339.348,81.0,0.0,-15.74575,6.2904778,304.09933,36.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55
2025-01-02 00:00:00,0,2,3,1,0,0,4.55,3.69,2152.0,2179.0,2169.0,1800.0,1939.0,1791.0,699.0,307.52,0.4399427753934191,-15.17075,10.183205,338.414,71.5,0.0,-15.370749,10.67993,337.73477,94.0,0.0,-15.74575,6.2904778,304.09933,36.5,13.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,4.41
2025-01-02 01:00:00,1,2,3,1,0,0,4.41,3.55,2146.0,2152.0,2163.0,2170.0,1800.0,1863.0,699.0,379.99,0.5436194563662375,-14.92075,9.37824,333.19226,68.5,0.0,-15.17075,10.183205,338.414,71.5,0.0,-15.84575,5.2890444,323.4464,40.5,23.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,4.88
2025-01-02 02:00:00,2,2,3,1,0,0,4.88,3.19,2148.0,2146.0,2151.0,2108.0,2170.0,1939.0,699.0,360.78,0.516137339055794,-17.07075,12.423534,323.69693,54.5,0.0,-14.92075,9.37824,333.19226,68.5,0.0,-15.84575,5.2890444,323.4464,40.5,23.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,6.2
2025-01-02 03:00:00,3,2,3,1,0,0,6.2,3.15,2181.0,2148.0,2169.0,2173.0,2108.0,1992.0,699.0,312.34000000000003,0.4468383404864092,-17.445751,12.159225,321.08914,67.0,0.0,-17.07075,12.423534,323.69693,54.5,0.0,-15.92075,5.182269,328.40607,39.5,17.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,5.89
2025-01-02 04:00:00,4,2,3,1,0,0,5.89,3.68,2245.0,2181.0,2165.0,2142.0,2173.0,1972.0,699.0,388.33,0.5555507868383406,-17.595749,11.826704,322.99463,75.0,0.0,-17.445751,12.159225,321.08914,67.0,0.0,-15.92075,5.182269,328.40607,39.5,17.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,5.96
2025-01-02 05:00:00,5,2,3,1,0,0,5.96,3.21,2414.0,2245.0,2225.0,2278.0,2142.0,2174.0,699.0,403.85,0.5777539341917025,-17.62075,11.207374,323.27542,98.5,0.0,-17.595749,11.826704,322.99463,75.0,0.0,-17.970749,9.129,323.13586,96.5,3.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,6.62
2025-01-02 06:00:00,6,2,3,1,0,0,6.62,3.48,2532.0,2414.0,2306.0,2057.0,2278.0,2242.0,699.0,401.02,0.5737052932761088,-17.345749,10.12324,331.3545,76.5,0.0,-17.62075,11.207374,323.27542,98.5,0.0,-17.970749,9.129,323.13586,96.5,3.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,5.94
2025-01-02 07:00:00,7,2,3,1,0,0,5.94,4.32,2603.0,2532.0,2356.0,2065.0,2057.0,2425.0,699.0,391.74,0.5604291845493562,-17.42075,9.089023,323.08224,58.0,0.0,-17.345749,10.12324,331.3545,76.5,0.0,-18.095749,10.960093,320.27783,91.5,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,6.01
2025-01-02 08:00:00,8,2,3,1,0,0,6.01,4.77,2622.0,2603.0,2384.0,2138.0,2065.0,2212.0,699.0,395.19,0.5653648068669528,-17.12075,7.468603,332.37646,88.5,0.0,-17.42075,9.089023,323.08224,58.0,0.0,-18.095749,10.960093,320.27783,91.5,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,6.03
2025-01-02 09:00:00,9,2,3,1,0,0,6.03,5.89,2637.0,2622.0,2390.0,2208.0,2138.0,2339.0,699.0,366.27,0.5239914163090128,-16.99575,6.86483,314.91766,94.0,0.0,-17.12075,7.468603,332.37646,88.5,0.0,-17.74575,12.85751,324.43408,90.0,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,5.56
2025-01-02 10:00:00,10,2,3,1,0,0,5.56,5.98,2626.0,2637.0,2408.0,2427.0,2208.0,2387.0,699.0,366.88,0.5248640915593705,-16.695751,6.035616,322.2259,100.0,0.5,-16.99575,6.86483,314.91766,94.0,0.0,-17.74575,12.85751,324.43408,90.0,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,5.6
2025-01-02 11:00:00,11,2,3,1,0,0,5.6,5.9,2629.0,2626.0,2396.0,2482.0,2427.0,2340.0,699.0,367.30000000000007,0.5254649499284694,-16.070751,5.9261484,307.02728,100.0,9.5,-16.695751,6.035616,322.2259,100.0,0.5,-17.37075,11.001148,336.37714,74.0,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,5.66
2025-01-02 12:00:00,12,2,3,1,0,0,5.66,5.94,2619.0,2629.0,2407.0,2338.0,2482.0,2137.0,699.0,367.75,0.5261087267525035,-15.44575,5.574787,281.81976,93.5,16.0,-16.070751,5.9261484,307.02728,100.0,9.5,-17.37075,11.001148,336.37714,74.0,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,5.39
