date,ftc_IT-CSOUTH,ftc_IT-NORTH,ftc_IT-SACODC,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation,temperature_2m_lag1,wind_speed_10m_lag1,wind_direction_10m_lag1,cloudcover_lag1,shortwave_radiation_lag1,temperature_2m_lag24,wind_speed_10m_lag24,wind_direction_10m_lag24,cloudcover_lag24,shortwave_radiation_lag24,Natural_Gas_price_EUR,Natural_Gas_price_EUR_lag_1d,Coal_price_EUR,Coal_price_EUR_lag_1d,Oil_price_EUR,Oil_price_EUR_lag_1d,Carbon_Emission_price_EUR,Carbon_Emission_price_EUR_lag_1d
2025-01-01 00:00:00,3649.0,3852.0,150.0,5.04625,4.5723257,198.32162,52.0,0.0,4.87125,4.2583175,192.94356,51.5,0.0,4.27125,3.0307279,184.45752,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 01:00:00,3549.0,3989.0,150.0,5.12125,4.811818,210.58318,60.5,0.0,5.04625,4.5723257,198.32162,52.0,0.0,3.52125,4.0702796,170.10907,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 02:00:00,3549.0,3989.0,150.0,6.5212502,4.8811994,224.21173,100.0,0.0,5.12125,4.811818,210.58318,60.5,0.0,3.7462502,4.3302183,149.65422,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 03:00:00,3579.0,3980.0,150.0,6.8462505,5.0476446,224.17122,100.0,0.0,6.5212502,4.8811994,224.21173,100.0,0.0,3.59625,5.141013,151.09332,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 04:00:00,3579.0,3980.0,150.0,7.2712502,7.1022606,210.24696,100.0,0.0,6.8462505,5.0476446,224.17122,100.0,0.0,3.09625,5.4283295,154.41843,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 05:00:00,3665.0,3850.0,150.0,7.2712502,7.9689727,208.18863,84.0,0.0,7.2712502,7.9689727,208.18863,84.0,0.0,7.14625,3.3761382,170.23697,50.5,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 06:00:00,3665.0,3850.0,150.0,7.2962503,8.744724,205.40106,73.0,0.0,7.2712502,7.9689727,208.18863,84.0,0.0,8.196251,2.4922624,185.21033,50.5,194.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 07:00:00,3658.0,3896.0,150.0,7.0462503,8.591984,213.73877,79.0,0.0,7.2962503,8.744724,205.40106,73.0,0.0,9.57125,5.553701,196.32758,49.5,207.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 08:00:00,3658.0,3896.0,150.0,6.8462505,8.40487,210.13702,84.0,0.0,7.0462503,8.591984,213.73877,79.0,0.0,8.77125,6.0398626,211.6862,47.5,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 09:00:00,3685.0,4140.0,150.0,7.09625,7.522355,200.42511,95.5,17.5,6.8462505,8.40487,210.13702,84.0,0.0,7.4212503,7.102649,233.67096,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 10:00:00,3685.0,4140.0,150.0,7.72125,6.6657114,193.68881,87.0,67.5,7.72125,6.6657114,193.68881,87.0,67.5,5.9462504,4.3783684,199.1121,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 11:00:00,3632.0,4313.0,150.0,8.49625,6.573564,158.9811,84.5,118.5,8.49625,6.573564,158.9811,84.5,118.5,4.87125,4.2583175,192.94356,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 12:00:00,3632.0,4313.0,150.0,8.971251,7.5174055,160.41005,82.0,148.0,8.49625,6.573564,158.9811,84.5,118.5,5.04625,4.5723257,198.32162,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 13:00:00,3675.0,3958.0,150.0,9.27125,7.931092,159.83438,77.0,164.0,8.971251,7.5174055,160.41005,82.0,148.0,5.12125,4.811818,210.58318,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 14:00:00,3575.0,3958.0,150.0,9.221251,10.334392,168.28986,90.0,153.0,9.27125,7.931092,159.83438,77.0,164.0,6.5212502,4.8811994,224.21173,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 15:00:00,3466.0,3784.0,150.0,8.846251,10.337883,177.86426,95.5,108.5,9.221251,10.334392,168.28986,90.0,153.0,6.8462505,5.0476446,224.17122,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 16:00:00,3466.0,3684.0,150.0,8.64625,7.928185,179.89087,79.5,60.0,8.846251,10.337883,177.86426,95.5,108.5,7.2712502,7.1022606,210.24696,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 17:00:00,3365.0,3779.0,150.0,8.196251,7.82065,172.94867,78.0,12.5,8.196251,7.82065,172.94867,78.0,12.5,7.2712502,7.9689727,208.18863,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 18:00:00,3365.0,3779.0,150.0,7.92125,6.651002,195.77534,84.5,0.0,8.196251,7.82065,172.94867,78.0,12.5,7.2962503,8.744724,205.40106,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 19:00:00,3427.0,3601.0,150.0,7.3962502,5.3062563,216.05656,84.5,0.0,7.92125,6.651002,195.77534,84.5,0.0,7.0462503,8.591984,213.73877,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 20:00:00,3527.0,3701.0,150.0,7.44625,5.4845066,241.24998,96.5,0.0,7.3962502,5.3062563,216.05656,84.5,0.0,6.8462505,8.40487,210.13702,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 21:00:00,3475.0,3881.0,150.0,7.3212504,4.7047677,263.29187,83.0,0.0,7.44625,5.4845066,241.24998,96.5,0.0,7.09625,7.522355,200.42511,95.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 22:00:00,3575.0,3981.0,150.0,7.49625,4.0439396,258.26605,91.5,0.0,7.49625,4.0439396,258.26605,91.5,0.0,7.72125,6.6657114,193.68881,87.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 23:00:00,3677.0,3761.0,150.0,7.5712504,4.221823,251.92711,100.0,0.0,7.49625,4.0439396,258.26605,91.5,0.0,8.49625,6.573564,158.9811,84.5,118.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-02 00:00:00,3677.0,3761.0,150.0,7.57125,5.386215,243.72083,95.5,0.0,7.5712504,4.221823,251.92711,100.0,0.0,8.49625,6.573564,158.9811,84.5,118.5,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0
2025-01-02 01:00:00,3798.0,3807.0,150.0,7.24625,7.210329,83.14989,91.0,0.0,7.57125,5.386215,243.72083,95.5,0.0,8.971251,7.5174055,160.41005,82.0,148.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0
2025-01-02 02:00:00,3798.0,3807.0,150.0,7.47125,6.439875,243.43503,94.5,0.0,7.24625,7.210329,83.14989,91.0,0.0,8.971251,7.5174055,160.41005,82.0,148.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0
2025-01-02 03:00:00,3884.0,3946.0,150.0,7.6462502,8.915595,88.73956,100.0,0.0,7.47125,6.439875,243.43503,94.5,0.0,9.27125,7.931092,159.83438,77.0,164.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0
2025-01-02 04:00:00,3884.0,3946.0,150.0,7.67125,7.3851137,182.4574,100.0,0.0,7.6462502,8.915595,88.73956,100.0,0.0,9.27125,7.931092,159.83438,77.0,164.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0
2025-01-02 05:00:00,3776.0,3760.0,150.0,7.57125,8.469734,248.20053,100.0,0.0,7.67125,7.3851137,182.4574,100.0,0.0,9.221251,10.334392,168.28986,90.0,153.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0
2025-01-02 06:00:00,3133.0,3760.0,150.0,7.24625,8.316158,108.93753,81.5,0.0,7.57125,8.469734,248.20053,100.0,0.0,9.221251,10.334392,168.28986,90.0,153.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0
2025-01-02 07:00:00,3085.0,3945.0,150.0,6.97125,6.421075,239.85919,84.5,0.0,7.24625,8.316158,108.93753,81.5,0.0,8.846251,10.337883,177.86426,95.5,108.5,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0
2025-01-02 08:00:00,3085.0,3945.0,150.0,7.42125,7.179286,255.03693,74.5,0.0,6.97125,6.421075,239.85919,84.5,0.0,8.846251,10.337883,177.86426,95.5,108.5,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0
