date,hour,day_x,weekday_x,month_x,weekend_x,season_x,EP_lag_1,EP_lag_24,DAHTL_TotalLoadValue,DAHTL_lag_1h,DAHTL_lag_24h,ATL_TotalLoadValue,ATL_lag_1h,ATL_lag_24h,ftc_NL,Hydro_Pumped_Storage_Capacity,Hydro_Pumped_Storage_Output,Hydro_Pumped_Storage_Utilization,Hydro_Water_Reservoir_Capacity,Hydro_Water_Reservoir_Output,Hydro_Water_Reservoir_Utilization,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation,temperature_2m_lag1,wind_speed_10m_lag1,wind_direction_10m_lag1,cloudcover_lag1,shortwave_radiation_lag1,temperature_2m_lag24,wind_speed_10m_lag24,wind_direction_10m_lag24,cloudcover_lag24,shortwave_radiation_lag24,Natural_Gas_price_EUR,Natural_Gas_price_EUR_lag_1d,Coal_price_EUR,Coal_price_EUR_lag_1d,Oil_price_EUR,Oil_price_EUR_lag_1d,Carbon_Emission_price_EUR,Carbon_Emission_price_EUR_lag_1d,Electricity_price_MWh
2025-01-01 00:00:00,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,4477.63,0.0,0.0,4406.88,0.0,0.0,640.0,520.0,0.0,0.0,6047.2,446.6,0.0738523614234687,-0.60375,16.389647,30.479263,100.0,0.0,-0.078749955,16.219986,28.134079,100.0,0.0,1.14625,13.706509,297.01764,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.05
2025-01-01 01:00:00,1.0,1.0,2.0,1.0,0.0,0.0,14.05,0.0,4512.44,4477.63,0.0,4370.35,4406.88,0.0,640.0,520.0,0.0,0.0,6047.2,444.87,0.0735662786082815,-0.62875,14.796236,33.522358,100.0,0.0,-0.60375,16.389647,30.479263,100.0,0.0,0.99625,9.927544,298.9704,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.39
2025-01-01 02:00:00,2.0,1.0,2.0,1.0,0.0,0.0,12.39,0.0,4568.03,4512.44,0.0,4345.23,4370.35,0.0,640.0,520.0,0.0,0.0,6047.2,436.72,0.0722185474269083,-0.60375,14.308348,42.34049,100.0,0.0,-0.62875,14.796236,33.522358,100.0,0.0,1.47125,8.5167885,266.23615,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.21
2025-01-01 03:00:00,3.0,1.0,2.0,1.0,0.0,0.0,13.21,0.0,4544.84,4568.03,0.0,4519.04,4345.23,0.0,640.0,520.0,0.0,0.0,6047.2,443.2999999999999,0.0733066543193544,-0.27875,13.115313,37.507896,100.0,0.0,-0.60375,14.308348,42.34049,100.0,0.0,1.57125,7.7368574,255.15637,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.23
2025-01-01 04:00:00,4.0,1.0,2.0,1.0,0.0,0.0,12.23,0.0,4628.46,4544.84,0.0,4738.37,4519.04,0.0,640.0,520.0,0.0,0.0,6047.2,450.6,0.0745138245799709,-0.25375003,12.409515,50.534763,100.0,0.0,-0.27875,13.115313,37.507896,100.0,0.0,1.44625,5.394,244.29488,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.73
2025-01-01 05:00:00,5.0,1.0,2.0,1.0,0.0,0.0,6.73,0.0,4695.73,4628.46,0.0,4650.39,4738.37,0.0,640.0,520.0,0.0,0.0,6047.2,439.12,0.0726154253208096,-0.15375,12.735981,49.76376,100.0,0.0,-0.15375,12.735981,49.76376,100.0,0.0,1.07125,3.1717653,101.86252,100.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.37
2025-01-01 06:00:00,6.0,1.0,2.0,1.0,0.0,0.0,15.37,0.0,4715.87,4695.73,0.0,4560.26,4650.39,0.0,640.0,520.0,0.0,0.0,6047.2,494.04,0.0816973144595846,-0.078749985,12.812407,58.50354,100.0,0.0,-0.15375,12.735981,49.76376,100.0,0.0,1.17125,7.71605,98.433945,100.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.11
2025-01-01 07:00:00,7.0,1.0,2.0,1.0,0.0,0.0,16.11,0.0,4767.42,4715.87,0.0,4621.83,4560.26,0.0,640.0,520.0,0.0,0.0,6047.2,459.07,0.0759144728138642,0.24624997,14.685175,63.435013,100.0,0.0,-0.078749985,12.812407,58.50354,100.0,0.0,0.94625,17.368748,101.75444,100.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.55
2025-01-01 08:00:00,8.0,1.0,2.0,1.0,0.0,0.0,16.55,0.0,4888.0,4767.42,0.0,4700.08,4621.83,0.0,640.0,520.0,0.0,0.0,6047.2,553.9300000000001,0.0916010715703135,-0.028750002,15.713987,55.519676,100.0,0.0,0.24624997,14.685175,63.435013,100.0,0.0,1.19625,16.463417,93.26739,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.95
2025-01-01 09:00:00,9.0,1.0,2.0,1.0,0.0,0.0,17.95,0.0,4968.75,4888.0,0.0,4754.41,4700.08,0.0,640.0,520.0,0.0,0.0,6047.2,1037.41,0.1715521232967324,-0.27875,19.79309,54.92522,100.0,0.0,-0.028750002,15.713987,55.519676,100.0,0.0,1.7962501,18.151394,62.918816,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.06
