date,hour,True,Predicted,Pct_of_True
2025-03-01 00:00:00,0,120.38,125.0090103149414,103.84533171202975
2025-03-01 01:00:00,1,117.09,124.18987274169922,106.06360299060485
2025-03-01 02:00:00,2,112.15,118.89177703857422,106.01139281192529
2025-03-01 03:00:00,3,109.75,111.26062774658203,101.37642619278544
2025-03-01 04:00:00,4,111.88,113.88272857666016,101.7900684453523
2025-03-01 05:00:00,5,117.1,121.80176544189453,104.0151711715581
2025-03-01 06:00:00,6,133.82,132.8532257080078,99.27755620087268
2025-03-01 07:00:00,7,138.3,138.57215881347656,100.19678872991797
2025-03-01 08:00:00,8,137.74,130.40306091308594,94.67334174029762
2025-03-01 09:00:00,9,125.08,128.8614044189453,103.02318869439185
2025-03-01 10:00:00,10,112.11,117.05712127685547,104.41273862889615
2025-03-01 11:00:00,11,98.63,102.8096923828125,104.2377495516704
2025-03-01 12:00:00,12,91.45,85.68290710449219,93.69372017987116
2025-03-01 13:00:00,13,89.1,88.10202026367188,98.8799329558607
2025-03-01 14:00:00,14,97.5,91.44606018066406,93.79083095452725
2025-03-01 15:00:00,15,120.18,107.6517562866211,89.57543375488525
2025-03-01 16:00:00,16,133.86,139.3349151611328,104.09003074938951
2025-03-01 17:00:00,17,152.0,138.82745361328125,91.33385106136924
2025-03-01 18:00:00,18,146.76,156.30142211914062,106.50137784078811
2025-03-01 19:00:00,19,133.41,126.06654357910156,94.49557273000642
2025-03-01 20:00:00,20,125.43,116.92823028564453,93.2219008894559
2025-03-01 21:00:00,21,122.03,119.51544952392578,97.93939975737588
2025-03-01 22:00:00,22,119.92,110.36197662353516,92.02966696425547
2025-03-01 23:00:00,23,108.67,106.62925720214844,98.12207343530729
