date,hour,day_x,weekday_x,month_x,weekend_x,season_x,EP_lag_1,EP_lag_24,DAHTL_TotalLoadValue,DAHTL_lag_1h,DAHTL_lag_24h,ATL_TotalLoadValue,ATL_lag_1h,ATL_lag_24h,ftc_AT,ftc_DE_LU,ftc_FR,ftc_IT-NORTH,Hydro_Water_Reservoir_Capacity,Hydro_Water_Reservoir_Output,Hydro_Water_Reservoir_Utilization,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation,temperature_2m_lag1,wind_speed_10m_lag1,wind_direction_10m_lag1,cloudcover_lag1,shortwave_radiation_lag1,temperature_2m_lag24,wind_speed_10m_lag24,wind_direction_10m_lag24,cloudcover_lag24,shortwave_radiation_lag24,Natural_Gas_price_EUR,Natural_Gas_price_EUR_lag_1d,Coal_price_EUR,Coal_price_EUR_lag_1d,Oil_price_EUR,Oil_price_EUR_lag_1d,Carbon_Emission_price_EUR,Carbon_Emission_price_EUR_lag_1d,Electricity_price_MWh
2025-01-01 00:00:00,0,1,2,1,0,0,0.0,0.0,7646.38,0.0,0.0,7534.46,0.0,0.0,1200.0,4000.0,1300.0,1719.0,340.0,55.5,0.163235294117647,0.6616667,2.4285343,169.27625,2.3333333,0.0,0.71166676,2.9070709,166.14842,3.6666667,0.0,0.1283334,2.0750787,216.24855,33.333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.2
2025-01-01 01:00:00,1,1,2,1,0,0,98.2,0.0,7878.88,7646.38,0.0,8067.28,7534.46,0.0,1200.0,4000.0,1300.0,1719.0,340.0,52.9,0.1555882352941176,0.41166672,2.8148334,153.12123,1.3333334,0.0,0.6616667,2.4285343,169.27625,2.3333333,0.0,-0.15499997,2.1688983,193.45482,33.333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6
2025-01-01 02:00:00,2,1,2,1,0,0,72.6,0.0,7802.78,7878.88,0.0,8011.14,8067.28,0.0,1200.0,4000.0,1300.0,1724.0,340.0,46.6,0.1370588235294117,-0.40499997,3.2498124,152.79286,33.0,0.0,0.41166672,2.8148334,153.12123,1.3333334,0.0,-0.38833332,2.2138932,166.6566,33.333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.85
2025-01-01 03:00:00,3,1,2,1,0,0,67.85,0.0,8002.13,7802.78,0.0,7870.29,8011.14,0.0,1200.0,4000.0,1300.0,1719.0,340.0,78.4,0.2305882352941176,-0.28833327,3.5342,143.47188,33.333332,0.0,-0.40499997,3.2498124,152.79286,33.0,0.0,-0.5716667,2.2540443,196.63306,33.333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.87
2025-01-01 04:00:00,4,1,2,1,0,0,62.87,0.0,8031.01,8002.13,0.0,7742.87,7870.29,0.0,1200.0,4000.0,1300.0,1719.0,340.0,86.2,0.2535294117647059,-0.27166662,3.8322237,147.12961,30.666666,0.0,-0.28833327,3.5342,143.47188,33.333332,0.0,-0.63833326,2.6321795,199.62096,33.333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.99
2025-01-01 05:00:00,5,1,2,1,0,0,58.99,0.0,7931.58,8031.01,0.0,7711.13,7742.87,0.0,1200.0,4000.0,1300.0,1719.0,340.0,49.8,0.1464705882352941,-0.35499993,3.0705726,156.2205,31.333334,0.0,-0.35499993,3.0705726,156.2205,31.333334,0.0,4.245,2.8635304,192.8866,33.333332,224.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.57
2025-01-01 06:00:00,6,1,2,1,0,0,68.57,0.0,8079.83,7931.58,0.0,7794.1,7711.13,0.0,1200.0,4000.0,1300.0,1719.0,340.0,65.6,0.1929411764705882,-0.12166659,3.4943364,147.09555,23.333334,0.0,-0.35499993,3.0705726,156.2205,31.333334,0.0,6.061667,2.113376,225.41069,32.666668,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.03
2025-01-01 07:00:00,7,1,2,1,0,0,74.03,0.0,7848.63,8079.83,0.0,7631.09,7794.1,0.0,1200.0,4000.0,1300.0,1934.0,340.0,83.4,0.2452941176470588,-0.13833332,3.3610103,152.25537,2.6666667,0.0,-0.12166659,3.4943364,147.09555,23.333334,0.0,7.5783334,1.9465245,203.19543,5.6666665,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.55
2025-01-01 08:00:00,8,1,2,1,0,0,76.55,0.0,8023.62,7848.63,0.0,7692.44,7631.09,0.0,1200.0,4000.0,1300.0,2053.0,340.0,47.3,0.1391176470588235,-0.10500002,3.1124992,150.97853,12.333333,0.0,-0.13833332,3.3610103,152.25537,2.6666667,0.0,5.1116667,3.3356092,195.4519,3.6666667,134.66667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.1
2025-01-01 09:00:00,9,1,2,1,0,0,88.1,0.0,8145.14,8023.62,0.0,7723.3,7692.44,0.0,1200.0,4000.0,1300.0,2078.0,340.0,37.1,0.1091176470588235,0.8116667,3.4944403,151.11778,2.6666667,22.0,-0.10500002,3.1124992,150.97853,12.333333,0.0,2.4116666,2.1953557,177.55788,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.73
2025-01-01 10:00:00,10,1,2,1,0,0,85.73,0.0,6878.01,8145.14,0.0,8042.93,7723.3,0.0,1200.0,4000.0,1300.0,2087.0,340.0,27.1,0.0797058823529411,3.3950002,4.2548866,156.37094,0.6666667,130.0,3.3950002,4.2548866,156.37094,0.6666667,130.0,0.945,2.9312675,164.43182,19.333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.8
2025-01-01 11:00:00,11,1,2,1,0,0,75.8,0.0,7573.97,6878.01,0.0,7841.24,8042.93,0.0,1200.0,4000.0,1300.0,2009.0,340.0,18.7,0.055,5.661667,4.015112,255.44415,23.0,241.0,5.661667,4.015112,255.44415,23.0,241.0,0.71166676,2.9070709,166.14842,3.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.74
2025-01-01 12:00:00,12,1,2,1,0,0,70.74,0.0,7379.06,7573.97,0.0,8051.97,7841.24,0.0,1200.0,4000.0,1300.0,2009.0,340.0,43.6,0.128235294117647,7.595,4.205013,236.61555,33.0,314.0,5.661667,4.015112,255.44415,23.0,241.0,0.6616667,2.4285343,169.27625,2.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.38
