zone,date,hour,day,weekday,month,weekend,season,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation
AT,2022-03-01,0,1,1,3,0,1,-2.7855,7.9932966,324.16226,2.0,0.0
AT,2022-03-01,1,1,1,3,0,1,-2.7355,9.339208,297.55273,1.0,0.0
AT,2022-03-01,2,1,1,3,0,1,-2.8855,11.609651,299.74478,0.0,0.0
AT,2022-03-01,3,1,1,3,0,1,-3.0355,11.592894,306.15826,0.0,0.0
AT,2022-03-01,4,1,1,3,0,1,-3.2855,11.090103,305.75397,0.0,0.0
AT,2022-03-01,5,1,1,3,0,1,-3.4855,11.090103,305.75397,0.0,0.0
AT,2022-03-01,6,1,1,3,0,1,-3.6355,11.592894,306.15826,0.0,0.0
AT,2022-03-01,7,1,1,3,0,1,-3.6355,11.988594,311.3477,0.0,4.0
AT,2022-03-01,8,1,1,3,0,1,-1.9855001,12.496718,311.49637,0.0,94.0
AT,2022-03-01,9,1,1,3,0,1,0.014500007,11.200571,315.0001,0.0,249.0
AT,2022-03-01,10,1,1,3,0,1,1.8145001,11.304229,322.76508,0.0,395.0
AT,2022-03-01,11,1,1,3,0,1,3.0644999,11.792404,328.73633,0.0,504.0
AT,2022-03-01,12,1,1,3,0,1,4.2145,12.245293,335.69547,0.0,564.0
AT,2022-03-01,13,1,1,3,0,1,4.7645,11.726277,342.12122,0.0,570.0
AT,2022-03-01,14,1,1,3,0,1,5.3645,11.119281,330.9455,0.0,524.0
AT,2022-03-01,15,1,1,3,0,1,5.6145,12.599998,323.13,0.0,427.0
AT,2022-03-01,16,1,1,3,0,1,5.2645,13.281023,327.17145,0.0,291.0
AT,2022-03-01,17,1,1,3,0,1,3.4645,7.9932966,324.16226,0.0,133.0
AT,2022-03-01,18,1,1,3,0,1,0.5145,9.504272,307.30402,0.0,14.0
AT,2022-03-01,19,1,1,3,0,1,0.16450001,10.97262,311.009,7.0,0.0
AT,2022-03-01,20,1,1,3,0,1,-0.2855,10.805998,330.01843,0.0,0.0
AT,2022-03-01,21,1,1,3,0,1,-0.6355,10.948973,332.5925,0.0,0.0
AT,2022-03-01,22,1,1,3,0,1,-0.8855,11.183201,326.82147,1.0,0.0
AT,2022-03-01,23,1,1,3,0,1,-1.2855,12.031756,321.07245,0.0,0.0
AT,2022-03-02,0,2,2,3,0,1,-1.7855,12.229406,317.38596,0.0,0.0
AT,2022-03-02,1,2,2,3,0,1,-1.6854999,11.753876,310.0302,0.0,0.0
AT,2022-03-02,2,2,2,3,0,1,-1.8355,13.246826,312.7974,0.0,0.0
AT,2022-03-02,3,2,2,3,0,1,-1.9355001,14.529915,311.98712,0.0,0.0
AT,2022-03-02,4,2,2,3,0,1,-2.0855,14.618837,307.99878,0.0,0.0
AT,2022-03-02,5,2,2,3,0,1,-2.1855001,14.982228,305.21768,0.0,0.0
AT,2022-03-02,6,2,2,3,0,1,-2.4355001,13.044722,309.40063,0.0,0.0
AT,2022-03-02,7,2,2,3,0,1,-2.7855,10.948973,313.66785,0.0,5.0
AT,2022-03-02,8,2,2,3,0,1,-0.98550004,11.988594,311.3477,0.0,101.0
AT,2022-03-02,9,2,2,3,0,1,1.4645,11.808878,322.43134,0.0,259.0
AT,2022-03-02,10,2,2,3,0,1,3.1145,13.32,341.07526,0.0,407.0
AT,2022-03-02,11,2,2,3,0,1,4.2645,13.450708,344.47583,0.0,518.0
AT,2022-03-02,12,2,2,3,0,1,5.2645,13.5515,343.0091,0.0,580.0
AT,2022-03-02,13,2,2,3,0,1,6.1145,14.84318,337.1663,0.0,587.0
AT,2022-03-02,14,2,2,3,0,1,6.4645,14.345898,342.47433,0.0,537.0
AT,2022-03-02,15,2,2,3,0,1,6.4144998,14.587776,344.24875,0.0,438.0
AT,2022-03-02,16,2,2,3,0,1,5.9144998,13.708391,346.32867,0.0,299.0
AT,2022-03-02,17,2,2,3,0,1,4.2645,7.628263,340.70987,0.0,140.0
AT,2022-03-02,18,2,2,3,0,1,0.36450002,8.78872,325.0079,0.0,16.0
AT,2022-03-02,19,2,2,3,0,1,-0.3355,6.9153743,308.65982,0.0,0.0
AT,2022-03-02,20,2,2,3,0,1,-0.7855,6.6185193,292.3802,0.0,0.0
AT,2022-03-02,21,2,2,3,0,1,-1.2355001,8.0899935,302.27563,0.0,0.0
AT,2022-03-02,22,2,2,3,0,1,-1.3855,8.404285,316.73566,0.0,0.0
AT,2022-03-02,23,2,2,3,0,1,-1.6854999,8.669949,318.36655,0.0,0.0
AT,2022-03-03,0,3,3,3,0,1,-2.0355,8.913181,313.36346,0.0,0.0
AT,2022-03-03,1,3,3,3,0,1,-2.0355,13.0447235,297.97937,0.0,0.0
AT,2022-03-03,2,3,3,3,0,1,-2.0855,13.281023,302.82855,62.0,0.0
AT,2022-03-03,3,3,3,3,0,1,-2.0355,13.979872,304.50858,6.0,0.0
AT,2022-03-03,4,3,3,3,0,1,-2.1355,13.089354,301.5042,0.0,0.0
AT,2022-03-03,5,3,3,3,0,1,-2.2355,12.387348,305.53775,1.0,0.0
AT,2022-03-03,6,3,3,3,0,1,-2.4355001,11.480557,311.18582,0.0,0.0
AT,2022-03-03,7,3,3,3,0,1,-2.3355,11.212135,312.39737,35.0,6.0
AT,2022-03-03,8,3,3,3,0,1,-0.48549998,13.513193,318.23978,99.0,106.0
AT,2022-03-03,9,3,3,3,0,1,1.9645,11.019764,321.63248,100.0,252.0
AT,2022-03-03,10,3,3,3,0,1,3.7645,9.983106,334.35904,100.0,386.0
AT,2022-03-03,11,3,3,3,0,1,4.9144998,10.739833,346.42953,49.0,448.0
AT,2022-03-03,12,3,3,3,0,1,6.1644998,10.308831,347.90527,0.0,568.0
AT,2022-03-03,13,3,3,3,0,1,6.7645,11.542478,356.42374,0.0,590.0
AT,2022-03-03,14,3,3,3,0,1,7.3645,11.542478,356.42374,0.0,562.0
AT,2022-03-03,15,3,3,3,0,1,7.1644998,12.599999,360.0,51.0,442.0
AT,2022-03-03,16,3,3,3,0,1,6.1644998,15.03835,11.04091,6.0,280.0
AT,2022-03-03,17,3,3,3,0,1,4.1645,9.107359,18.435053,0.0,142.0
AT,2022-03-03,18,3,3,3,0,1,0.11450001,9.028754,23.498587,0.0,17.0
AT,2022-03-03,19,3,3,3,0,1,-0.83549994,7.9526596,5.19435,15.0,0.0
AT,2022-03-03,20,3,3,3,0,1,-0.8855,7.4128532,330.9455,100.0,0.0
AT,2022-03-03,21,3,3,3,0,1,0.61450005,9.422101,316.5481,35.0,0.0
AT,2022-03-03,22,3,3,3,0,1,-0.98550004,11.212135,312.39737,0.0,0.0
AT,2022-03-03,23,3,3,3,0,1,-1.4855001,13.104198,307.18478,0.0,0.0
AT,2022-03-04,0,4,4,3,1,1,-1.7355001,13.896187,306.57312,0.0,0.0
AT,2022-03-04,1,4,4,3,1,1,-1.1355,14.693999,300.96368,4.0,0.0
AT,2022-03-04,2,4,4,3,1,1,-1.1854999,14.799459,311.05472,0.0,0.0
AT,2022-03-04,3,4,4,3,1,1,-1.9355001,14.512064,316.00497,0.0,0.0
AT,2022-03-04,4,4,4,3,1,1,-2.5855,12.984975,316.1232,6.0,0.0
AT,2022-03-04,5,4,4,3,1,1,-2.7855,13.513193,318.23978,38.0,0.0
AT,2022-03-04,6,4,4,3,1,1,-2.1855001,13.281023,327.17145,100.0,0.0
AT,2022-03-04,7,4,4,3,1,1,-1.0855,14.33234,334.72232,100.0,3.0
AT,2022-03-04,8,4,4,3,1,1,-0.48549998,17.418196,341.93942,25.0,55.0
AT,2022-03-04,9,4,4,3,1,1,0.5145,19.917469,353.77426,47.0,202.0
AT,2022-03-04,10,4,4,3,1,1,1.5645001,18.806337,354.50775,99.0,315.0
AT,2022-03-04,11,4,4,3,1,1,2.3645,19.523155,354.71,100.0,318.0
AT,2022-03-04,12,4,4,3,1,1,3.2145,18.0,360.0,100.0,277.0
