zone,date,hour,day,weekday,month,weekend,season,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation
AT,2020-04-01,1,1,2,4,0,1,-1.9855001,8.913181,313.36346,0.0,0.0
AT,2020-04-01,2,1,2,4,0,1,-1.7855,8.913181,316.63654,0.0,0.0
AT,2020-04-01,3,1,2,4,0,1,-2.2855,9.387651,302.47116,0.0,0.0
AT,2020-04-01,4,1,2,4,0,1,-2.5855,10.296251,306.46933,0.0,0.0
AT,2020-04-01,5,1,2,4,0,1,-2.7855,11.090103,305.75397,0.0,0.0
AT,2020-04-01,6,1,2,4,0,1,-2.9355001,10.587918,305.31128,0.0,0.0
AT,2020-04-01,7,1,2,4,0,1,-2.7355,10.44,313.6029,0.0,6.0
AT,2020-04-01,8,1,2,4,0,1,-0.68549997,10.009036,322.3057,0.0,104.0
AT,2020-04-01,9,1,2,4,0,1,1.2145,7.8625183,344.05453,0.0,274.0
AT,2020-04-01,10,1,2,4,0,1,2.8144999,6.489992,3.179772,0.0,446.0
AT,2020-04-01,11,1,2,4,0,1,4.2145,5.937272,14.036275,6.0,591.0
AT,2020-04-01,12,1,2,4,0,1,5.3145,4.072935,44.999897,18.0,683.0
AT,2020-04-01,13,1,2,4,0,1,6.1644998,3.96,90.0,41.0,711.0
AT,2020-04-01,14,1,2,4,0,1,6.3645,5.3999996,143.13002,0.0,705.0
AT,2020-04-01,15,1,2,4,0,1,7.0645,6.792466,147.99466,0.0,693.0
AT,2020-04-01,16,1,2,4,0,1,7.2145,8.225035,156.80139,0.0,587.0
AT,2020-04-01,17,1,2,4,0,1,7.1644998,8.089993,159.14546,0.0,441.0
AT,2020-04-01,18,1,2,4,0,1,6.9144998,7.4128532,150.9455,0.0,269.0
AT,2020-04-01,19,1,2,4,0,1,4.1145,6.9153743,128.65984,0.0,99.0
AT,2020-04-01,20,1,2,4,0,1,1.8645,9.178235,138.17992,0.0,4.0
AT,2020-04-01,21,1,2,4,0,1,0.61450005,10.495713,149.03632,0.0,0.0
AT,2020-04-01,22,1,2,4,0,1,0.16450001,8.350138,172.56868,0.0,0.0
AT,2020-04-01,23,1,2,4,0,1,-0.03549999,8.891344,201.37068,0.0,0.0
AT,2020-04-02,0,2,3,4,0,1,-1.0855,7.754637,201.80147,0.0,0.0
AT,2020-04-02,1,2,3,4,0,1,-1.8355,8.311245,197.6502,0.0,0.0
AT,2020-04-02,2,2,3,4,0,1,-1.9855001,9.085988,213.6901,0.0,0.0
AT,2020-04-02,3,2,3,4,0,1,-3.0855,6.162207,263.29025,0.0,0.0
AT,2020-04-02,4,2,3,4,0,1,-3.2355,4.39436,304.9921,0.0,0.0
AT,2020-04-02,5,2,3,4,0,1,-3.2355,5.3517847,317.72638,0.0,0.0
AT,2020-04-02,6,2,3,4,0,1,-3.2355,6.4096174,321.8427,0.0,0.0
AT,2020-04-02,7,2,3,4,0,1,-2.5355,4.8965297,323.97253,0.0,7.0
AT,2020-04-02,8,2,3,4,0,1,0.4145,3.671294,348.6901,0.0,112.0
AT,2020-04-02,9,2,3,4,0,1,2.7645,1.8,53.13002,0.0,284.0
AT,2020-04-02,10,2,3,4,0,1,4.7645,2.52,90.0,0.0,455.0
AT,2020-04-02,11,2,3,4,0,1,6.7645,3.8773184,111.801476,0.0,601.0
AT,2020-04-02,12,2,3,4,0,1,8.4145,6.638072,130.60121,0.0,705.0
AT,2020-04-02,13,2,3,4,0,1,9.764501,7.145796,139.08571,0.0,758.0
AT,2020-04-02,14,2,3,4,0,1,10.264501,7.8954163,136.8476,0.0,756.0
AT,2020-04-02,15,2,3,4,0,1,11.314501,7.9036193,149.9315,0.0,704.0
AT,2020-04-02,16,2,3,4,0,1,12.014501,7.289444,159.77505,0.0,595.0
AT,2020-04-02,17,2,3,4,0,1,12.1145,8.854829,153.43501,0.0,446.0
AT,2020-04-02,18,2,3,4,0,1,11.2145,10.990322,148.39255,0.0,273.0
AT,2020-04-02,19,2,3,4,0,1,8.264501,10.883676,145.78424,0.0,103.0
AT,2020-04-02,20,2,3,4,0,1,6.2145,12.303366,159.44388,0.0,5.0
AT,2020-04-02,21,2,3,4,0,1,4.9645,12.979984,176.82024,0.0,0.0
AT,2020-04-02,22,2,3,4,0,1,3.6645,11.304229,189.16228,0.0,0.0
AT,2020-04-02,23,2,3,4,0,1,1.6645,8.699793,204.44394,0.0,0.0
AT,2020-04-03,0,3,4,4,1,1,-0.03549999,6.439876,243.43501,0.0,0.0
AT,2020-04-03,1,3,4,4,1,1,-0.7355,7.2805495,261.46933,0.0,0.0
AT,2020-04-03,2,3,4,4,1,1,0.61450005,7.9526596,275.19434,0.0,0.0
AT,2020-04-03,3,3,4,4,1,1,1.8145001,9.114471,279.09018,0.0,0.0
AT,2020-04-03,4,3,4,4,1,1,3.6145,10.464798,273.9451,0.0,0.0
AT,2020-04-03,5,3,4,4,1,1,4.4144998,12.224107,283.627,0.0,0.0
AT,2020-04-03,6,3,4,4,1,1,3.9645,12.287555,301.8274,0.0,0.0
AT,2020-04-03,7,3,4,4,1,1,3.9645,14.168641,297.21603,2.0,8.0
AT,2020-04-03,8,3,4,4,1,1,6.3645,19.483284,286.09088,0.0,112.0
AT,2020-04-03,9,3,4,4,1,1,8.9645,18.861387,283.24054,0.0,284.0
AT,2020-04-03,10,3,4,4,1,1,11.1145,17.399586,294.44394,0.0,453.0
AT,2020-04-03,11,3,4,4,1,1,12.4145,15.778516,304.7779,0.0,596.0
AT,2020-04-03,12,3,4,4,1,1,13.3645,15.349684,309.28937,4.0,698.0
AT,2020-04-03,13,3,4,4,1,1,14.264501,16.992609,306.38446,100.0,733.0
AT,2020-04-03,14,3,4,4,1,1,14.1645,16.610792,299.8988,100.0,350.0
AT,2020-04-03,15,3,4,4,1,1,13.6645,18.556595,288.08353,92.0,259.0
AT,2020-04-03,16,3,4,4,1,1,12.9145,19.493261,274.23633,85.0,166.0
