zone,date,hour,day,weekday,month,weekend,season,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation
AT,2023-07-01,1,1,5,7,1,2,19.1145,14.689588,306.02747,96.0,0.0
AT,2023-07-01,2,1,5,7,1,2,18.914501,12.594856,300.96368,26.0,0.0
AT,2023-07-01,3,1,5,7,1,2,18.4645,12.4811535,303.23172,100.0,0.0
AT,2023-07-01,4,1,5,7,1,2,18.5645,12.72283,295.1148,100.0,0.0
AT,2023-07-01,5,1,5,7,1,2,18.2645,12.096214,306.52896,100.0,0.0
AT,2023-07-01,6,1,5,7,1,2,18.414501,9.449572,319.63553,100.0,22.0
AT,2023-07-01,7,1,5,7,1,2,19.1145,7.145796,310.91428,100.0,80.0
AT,2023-07-01,8,1,5,7,1,2,19.914501,11.983188,302.7352,100.0,150.0
AT,2023-07-01,9,1,5,7,1,2,20.8145,11.720751,312.5104,98.0,257.0
AT,2023-07-01,10,1,5,7,1,2,21.664501,14.264361,312.9546,100.0,282.0
AT,2023-07-01,11,1,5,7,1,2,22.4645,14.76439,315.0001,100.0,325.0
AT,2023-07-01,12,1,5,7,1,2,24.0145,12.979984,303.6901,100.0,665.0
AT,2023-07-01,13,1,5,7,1,2,25.0145,11.4862,302.1957,100.0,698.0
AT,2023-07-01,14,1,5,7,1,2,24.1145,13.276144,319.39877,100.0,450.0
AT,2023-07-01,15,1,5,7,1,2,24.1145,14.021525,299.1974,100.0,319.0
AT,2023-07-01,16,1,5,7,1,2,22.6145,20.364674,278.13,100.0,409.0
AT,2023-07-01,17,1,5,7,1,2,23.164501,21.2522,280.73883,100.0,444.0
AT,2023-07-01,18,1,5,7,1,2,23.2145,20.008356,278.27582,100.0,360.0
AT,2023-07-01,19,1,5,7,1,2,22.414501,16.203999,271.273,100.0,201.0
AT,2023-07-01,20,1,5,7,1,2,21.414501,19.201874,263.5413,100.0,87.0
AT,2023-07-01,21,1,5,7,1,2,20.5645,21.96,270.0,100.0,18.0
AT,2023-07-01,22,1,5,7,1,2,20.7645,22.682856,270.90936,100.0,0.0
AT,2023-07-01,23,1,5,7,1,2,20.7645,22.033648,274.68582,98.0,0.0
AT,2023-07-02,0,2,6,7,1,2,20.5145,20.12461,280.30478,75.0,0.0
AT,2023-07-02,1,2,6,7,1,2,19.914501,17.581125,280.6196,50.0,0.0
AT,2023-07-02,2,2,6,7,1,2,20.414501,21.659918,285.4222,21.0,0.0
AT,2023-07-02,3,2,6,7,1,2,19.6145,17.555305,285.46127,18.0,0.0
AT,2023-07-02,4,2,6,7,1,2,19.2645,20.192118,281.3099,3.0,0.0
AT,2023-07-02,5,2,6,7,1,2,19.164501,22.19773,278.39285,2.0,0.0
AT,2023-07-02,6,2,6,7,1,2,19.0645,24.74329,278.36578,50.0,28.0
AT,2023-07-02,7,2,6,7,1,2,19.4645,26.717722,284.03625,87.0,124.0
AT,2023-07-02,8,2,6,7,1,2,19.9645,23.795427,287.61267,98.0,220.0
AT,2023-07-02,9,2,6,7,1,2,21.1145,21.758419,286.33612,45.0,324.0
AT,2023-07-02,10,2,6,7,1,2,22.7145,24.633049,296.93945,50.0,485.0
AT,2023-07-02,11,2,6,7,1,2,23.6145,20.523157,285.25516,57.0,574.0
AT,2023-07-02,12,2,6,7,1,2,23.6145,22.702845,284.69736,43.0,602.0
AT,2023-07-02,13,2,6,7,1,2,24.2145,23.795427,280.45984,13.0,714.0
AT,2023-07-02,14,2,6,7,1,2,23.914501,21.897945,279.46225,8.0,761.0
AT,2023-07-02,15,2,6,7,1,2,22.164501,27.834309,275.19434,99.0,500.0
AT,2023-07-02,16,2,6,7,1,2,22.164501,26.168804,277.90707,2.0,455.0
AT,2023-07-02,17,2,6,7,1,2,22.4645,29.888672,279.00842,2.0,598.0
AT,2023-07-02,18,2,6,7,1,2,23.0145,26.168804,277.90707,5.0,444.0
AT,2023-07-02,19,2,6,7,1,2,22.6145,21.288757,273.87845,2.0,276.0
AT,2023-07-02,20,2,6,7,1,2,21.5645,17.673029,266.49652,0.0,132.0
AT,2023-07-02,21,2,6,7,1,2,20.5145,18.014393,267.70944,0.0,25.0
AT,2023-07-02,22,2,6,7,1,2,20.3145,15.517629,266.00916,0.0,0.0
AT,2023-07-02,23,2,6,7,1,2,19.414501,12.015589,261.38443,0.0,0.0
AT,2023-07-03,0,3,0,7,0,2,19.0645,11.901798,273.46817,0.0,0.0
AT,2023-07-03,1,3,0,7,0,2,18.4645,12.904882,292.98874,0.0,0.0
AT,2023-07-03,2,3,0,7,0,2,18.1145,8.473393,282.26477,0.0,0.0
AT,2023-07-03,3,3,0,7,0,2,17.3145,8.473393,282.26477,0.0,0.0
AT,2023-07-03,4,3,0,7,0,2,16.4645,8.707238,277.1249,13.0,0.0
AT,2023-07-03,5,3,0,7,0,2,16.2645,7.9932976,277.76508,100.0,0.0
AT,2023-07-03,6,3,0,7,0,2,18.164501,7.2359104,275.7105,54.0,13.0
AT,2023-07-03,7,3,0,7,0,2,19.6145,6.379216,286.38962,2.0,118.0
AT,2023-07-03,8,3,0,7,0,2,21.664501,5.3517847,289.6539,0.0,289.0
AT,2023-07-03,9,3,0,7,0,2,23.2645,7.754637,291.80148,0.0,454.0
AT,2023-07-03,10,3,0,7,0,2,24.414501,8.766573,289.1791,7.0,604.0
AT,2023-07-03,11,3,0,7,0,2,25.3145,9.346143,285.6423,16.0,702.0
AT,2023-07-03,12,3,0,7,0,2,26.3645,13.797913,285.12405,58.0,772.0
AT,2023-07-03,13,3,0,7,0,2,26.6145,10.823973,273.814,100.0,718.0
AT,2023-07-03,14,3,0,7,0,2,26.9645,11.542478,273.57626,100.0,441.0
AT,2023-07-03,15,3,0,7,0,2,26.7145,13.722565,265.48608,65.0,530.0
AT,2023-07-03,16,3,0,7,0,2,26.6145,12.181624,235.84026,100.0,399.0
AT,2023-07-03,17,3,0,7,0,2,25.3645,16.179987,212.27562,100.0,315.0
AT,2023-07-03,18,3,0,7,0,2,25.0145,13.527572,205.2011,82.0,279.0
AT,2023-07-03,19,3,0,7,0,2,24.664501,10.495713,202.1664,100.0,203.0
AT,2023-07-03,20,3,0,7,0,2,23.2645,8.766573,199.17911,84.0,77.0
AT,2023-07-03,21,3,0,7,0,2,21.414501,7.5685663,205.34613,63.0,22.0
AT,2023-07-03,22,3,0,7,0,2,19.8645,7.42159,219.09384,49.0,0.0
