zone,date,hour,day,weekday,month,weekend,season,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation
AT,2023-11-01,0,1,2,11,0,3,10.564501,23.087763,280.78424,98.0,0.0
AT,2023-11-01,1,1,2,11,0,3,10.6645,22.148045,277.47147,100.0,0.0
AT,2023-11-01,2,1,2,11,0,3,10.6145,16.23596,266.186,53.0,0.0
AT,2023-11-01,3,1,2,11,0,3,11.1145,18.057508,265.42615,85.0,0.0
AT,2023-11-01,4,1,2,11,0,3,11.314501,18.0036,268.85425,11.0,0.0
AT,2023-11-01,5,1,2,11,0,3,10.6645,15.4800005,270.0,9.0,0.0
AT,2023-11-01,6,1,2,11,0,3,10.064501,11.901798,266.53183,4.0,0.0
AT,2023-11-01,7,1,2,11,0,3,8.8645,7.5942073,264.55975,6.0,2.0
AT,2023-11-01,8,1,2,11,0,3,10.6645,7.771331,256.60748,35.0,77.0
AT,2023-11-01,9,1,2,11,0,3,12.4145,4.6800003,202.6199,18.0,208.0
AT,2023-11-01,10,1,2,11,0,3,13.9645,8.311245,162.3498,16.0,323.0
AT,2023-11-01,11,1,2,11,0,3,14.9645,12.074766,153.43501,12.0,400.0
AT,2023-11-01,12,1,2,11,0,3,16.1645,12.181624,145.84026,0.0,433.0
AT,2023-11-01,13,1,2,11,0,3,16.9645,14.291592,139.08571,0.0,415.0
AT,2023-11-01,14,1,2,11,0,3,16.7645,18.161278,140.6307,0.0,348.0
AT,2023-11-01,15,1,2,11,0,3,15.6645,17.57744,145.0079,1.0,241.0
AT,2023-11-01,16,1,2,11,0,3,14.264501,17.10284,149.65683,0.0,110.0
AT,2023-11-01,17,1,2,11,0,3,12.8645,15.617529,154.02567,2.0,11.0
AT,2023-11-01,18,1,2,11,0,3,12.1645,16.78156,157.28555,0.0,0.0
AT,2023-11-01,19,1,2,11,0,3,11.564501,16.78156,157.28555,88.0,0.0
AT,2023-11-01,20,1,2,11,0,3,11.2145,16.179985,159.14546,94.0,0.0
AT,2023-11-01,21,1,2,11,0,3,10.6645,13.450708,164.47583,100.0,0.0
AT,2023-11-01,22,1,2,11,0,3,10.264501,9.531505,169.11452,100.0,0.0
AT,2023-11-01,23,1,2,11,0,3,10.014501,7.208994,177.13765,100.0,0.0
AT,2023-11-02,0,2,3,11,0,3,9.314501,7.5942073,185.44025,100.0,0.0
AT,2023-11-02,1,2,3,11,0,3,8.9645,7.5942082,211.42952,99.0,0.0
AT,2023-11-02,2,2,3,11,0,3,7.9144998,5.506941,258.6901,99.0,0.0
AT,2023-11-02,3,2,3,11,0,3,6.6644998,4.0249224,296.56497,95.0,0.0
AT,2023-11-02,4,2,3,11,0,3,6.6644998,1.1384199,288.43503,35.0,0.0
AT,2023-11-02,5,2,3,11,0,3,7.1644998,3.9763298,354.80566,44.0,0.0
AT,2023-11-02,6,2,3,11,0,3,7.5145,4.6938252,85.60138,41.0,0.0
AT,2023-11-02,7,2,3,11,0,3,7.0645,6.989936,145.49142,25.0,2.0
AT,2023-11-02,8,2,3,11,0,3,8.314501,9.021574,151.38963,5.0,77.0
AT,2023-11-02,9,2,3,11,0,3,11.1145,14.654254,152.176,2.0,215.0
AT,2023-11-02,10,2,3,11,0,3,13.564501,19.826164,150.64235,54.0,335.0
AT,2023-11-02,11,2,3,11,0,3,15.014501,29.168886,155.96571,8.0,401.0
AT,2023-11-02,12,2,3,11,0,3,16.7145,33.857227,171.4392,96.0,428.0
AT,2023-11-02,13,2,3,11,0,3,17.4645,33.40055,172.56868,100.0,370.0
AT,2023-11-02,14,2,3,11,0,3,17.3145,35.821354,174.23221,92.0,312.0
AT,2023-11-02,15,2,3,11,0,3,16.6145,34.22841,165.37909,100.0,209.0
AT,2023-11-02,16,2,3,11,0,3,15.6645,33.82659,163.30067,100.0,69.0
AT,2023-11-02,17,2,3,11,0,3,15.6645,32.33193,161.16147,100.0,3.0
AT,2023-11-02,18,2,3,11,0,3,15.1145,34.674183,167.40668,100.0,0.0
AT,2023-11-02,19,2,3,11,0,3,14.1645,32.048088,165.02708,100.0,0.0
AT,2023-11-02,20,2,3,11,0,3,13.9145,31.433586,159.90468,100.0,0.0
AT,2023-11-02,21,2,3,11,0,3,13.7145,28.04305,150.80261,100.0,0.0
AT,2023-11-02,22,2,3,11,0,3,13.9145,24.826954,150.46132,100.0,0.0
AT,2023-11-02,23,2,3,11,0,3,14.264501,26.250393,154.84073,100.0,0.0
AT,2023-11-03,0,3,4,11,1,3,13.764501,28.820242,154.07515,100.0,0.0
AT,2023-11-03,1,3,4,11,1,3,13.764501,29.024128,156.61476,100.0,0.0
