zone,date,hour,day,weekday,month,weekend,season,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation
AT,2022-09-01,1,1,3,9,0,3,16.2645,13.684735,333.43503,100.0,0.0
AT,2022-09-01,2,1,3,9,0,3,16.2145,15.778518,332.8504,97.0,0.0
AT,2022-09-01,3,1,3,9,0,3,15.4645,14.57889,327.09476,51.0,0.0
AT,2022-09-01,4,1,3,9,0,3,15.3645,14.20062,329.53452,95.0,0.0
AT,2022-09-01,5,1,3,9,0,3,14.9145,13.53236,331.38962,49.0,0.0
AT,2022-09-01,6,1,3,9,0,3,14.6145,13.217443,330.64233,89.0,0.0
AT,2022-09-01,7,1,3,9,0,3,14.7145,14.168641,332.78397,22.0,20.0
AT,2022-09-01,8,1,3,9,0,3,15.9645,14.33234,334.72232,6.0,143.0
AT,2022-09-01,9,1,3,9,0,3,17.3145,14.917212,351.67444,17.0,305.0
AT,2022-09-01,10,1,3,9,0,3,18.664501,14.764389,1.397161,31.0,463.0
AT,2022-09-01,11,1,3,9,0,3,20.0145,16.24394,12.804273,34.0,591.0
AT,2022-09-01,12,1,3,9,0,3,20.9645,17.309973,16.927603,56.0,691.0
AT,2022-09-01,13,1,3,9,0,3,21.914501,18.792551,16.699326,76.0,732.0
AT,2022-09-01,14,1,3,9,0,3,21.7145,17.026896,13.448633,100.0,586.0
AT,2022-09-01,15,1,3,9,0,3,22.3645,18.861387,13.240531,100.0,607.0
AT,2022-09-01,16,1,3,9,0,3,22.0645,19.652176,8.426887,89.0,458.0
AT,2022-09-01,17,1,3,9,0,3,20.5645,22.751316,4.5376954,96.0,237.0
AT,2022-09-01,18,1,3,9,0,3,20.3145,16.215992,2.5447557,30.0,197.0
AT,2022-09-01,19,1,3,9,0,3,19.2145,16.700275,7.4313188,39.0,99.0
AT,2022-09-01,20,1,3,9,0,3,17.8645,14.917212,8.325568,28.0,9.0
AT,2022-09-01,21,1,3,9,0,3,17.9645,14.404499,1.4320632,82.0,0.0
AT,2022-09-01,22,1,3,9,0,3,17.0145,14.113653,354.14407,98.0,0.0
AT,2022-09-01,23,1,3,9,0,3,16.4645,13.084402,352.09293,100.0,0.0
AT,2022-09-02,0,2,4,9,1,3,16.1645,13.138765,350.53775,100.0,0.0
AT,2022-09-02,1,2,4,9,1,3,15.6645,12.429127,349.99207,100.0,0.0
AT,2022-09-02,2,2,4,9,1,3,13.9145,9.19939,329.42084,100.0,0.0
AT,2022-09-02,3,2,4,9,1,3,13.014501,9.686609,318.01288,1.0,0.0
AT,2022-09-02,4,2,4,9,1,3,12.6145,10.948973,313.66785,11.0,0.0
AT,2022-09-02,5,2,4,9,1,3,12.1645,11.457958,313.72705,14.0,0.0
AT,2022-09-02,6,2,4,9,1,3,11.6145,10.195057,312.1375,18.0,0.0
AT,2022-09-02,7,2,4,9,1,3,11.8645,11.592894,306.15826,8.0,18.0
AT,2022-09-02,8,2,4,9,1,3,13.4145,12.218805,315.0001,1.0,139.0
AT,2022-09-02,9,2,4,9,1,3,14.9145,10.587918,324.6887,8.0,310.0
AT,2022-09-02,10,2,4,9,1,3,16.5145,8.534353,332.3541,11.0,455.0
AT,2022-09-02,11,2,4,9,1,3,17.9645,6.2145634,349.99207,30.0,545.0
AT,2022-09-02,12,2,4,9,1,3,19.2645,4.39436,34.9921,3.0,642.0
AT,2022-09-02,13,2,4,9,1,3,20.3645,4.73506,81.25392,65.0,726.0
AT,2022-09-02,14,2,4,9,1,3,20.2645,5.3517847,109.653915,89.0,581.0
AT,2022-09-02,15,2,4,9,1,3,21.164501,4.1046314,74.74483,19.0,614.0
AT,2022-09-02,16,2,4,9,1,3,21.0645,7.2,53.13002,45.0,425.0
AT,2022-09-02,17,2,4,9,1,3,20.8645,9.673221,44.999897,37.0,392.0
AT,2022-09-02,18,2,4,9,1,3,20.2645,11.200571,44.999897,21.0,261.0
AT,2022-09-02,19,2,4,9,1,3,18.4645,7.9932966,54.16227,53.0,111.0
AT,2022-09-02,20,2,4,9,1,3,17.6145,7.729527,62.24156,31.0,9.0
AT,2022-09-02,21,2,4,9,1,3,18.0645,3.6179552,185.7105,14.0,0.0
AT,2022-09-02,22,2,4,9,1,3,17.414501,2.9024127,7.12493,7.0,0.0
AT,2022-09-02,23,2,4,9,1,3,14.1145,7.10031,30.465475,11.0,0.0
AT,2022-09-03,0,3,5,9,1,3,13.2145,6.763786,25.201094,6.0,0.0
AT,2022-09-03,1,3,5,9,1,3,13.064501,7.072878,14.743609,0.0,0.0
AT,2022-09-03,2,3,5,9,1,3,11.9145,8.161764,48.57643,0.0,0.0
AT,2022-09-03,3,3,5,9,1,3,11.8645,7.289445,57.094753,0.0,0.0
AT,2022-09-03,4,3,5,9,1,3,11.764501,7.172949,72.47434,0.0,0.0
AT,2022-09-03,5,3,5,9,1,3,11.2145,6.6087217,60.64234,0.0,0.0
AT,2022-09-03,6,3,5,9,1,3,10.264501,8.089993,69.14546,0.0,0.0
AT,2022-09-03,7,3,5,9,1,3,11.6645,5.0528407,85.91447,2.0,19.0
AT,2022-09-03,8,3,5,9,1,3,14.064501,6.519877,96.340096,15.0,140.0
AT,2022-09-03,9,3,5,9,1,3,16.664501,7.729527,117.75845,0.0,304.0
AT,2022-09-03,10,3,5,9,1,3,19.1145,13.397612,120.699646,0.0,463.0
AT,2022-09-03,11,3,5,9,1,3,20.914501,16.08761,139.53786,40.0,597.0
AT,2022-09-03,12,3,5,9,1,3,22.2645,16.179987,147.72438,96.0,686.0
AT,2022-09-03,13,3,5,9,1,3,23.4645,16.199999,143.13002,99.0,716.0
AT,2022-09-03,14,3,5,9,1,3,23.8645,15.021105,134.02907,96.0,620.0
AT,2022-09-03,15,3,5,9,1,3,24.664501,13.493999,133.91916,100.0,661.0
AT,2022-09-03,16,3,5,9,1,3,24.2645,14.904173,127.14677,100.0,389.0
AT,2022-09-03,17,3,5,9,1,3,23.8645,16.831684,131.53168,55.0,283.0
AT,2022-09-03,18,3,5,9,1,3,23.2145,14.57889,122.90524,45.0,221.0
AT,2022-09-03,19,3,5,9,1,3,21.414501,13.849477,117.89718,99.0,93.0
AT,2022-09-03,20,3,5,9,1,3,20.2645,12.074766,116.56499,96.0,6.0
AT,2022-09-03,21,3,5,9,1,3,19.3645,12.387348,125.537766,3.0,0.0
AT,2022-09-03,22,3,5,9,1,3,18.5145,11.753876,139.9698,6.0,0.0
AT,2022-09-03,23,3,5,9,1,3,17.7145,10.636766,156.0375,16.0,0.0
AT,2022-09-04,0,4,6,9,1,3,16.8145,8.557102,165.37909,92.0,0.0
AT,2022-09-04,1,4,6,9,1,3,16.1645,7.69592,169.21574,100.0,0.0
AT,2022-09-04,2,4,6,9,1,3,16.8145,3.2599385,96.340096,100.0,0.0
AT,2022-09-04,3,4,6,9,1,3,17.1145,3.8773184,248.19853,100.0,0.0
AT,2022-09-04,4,4,6,9,1,3,16.7145,5.904439,232.43134,100.0,0.0
AT,2022-09-04,5,4,6,9,1,3,16.8645,5.3517847,312.27362,100.0,0.0
AT,2022-09-04,6,4,6,9,1,3,16.7645,1.2979984,213.6901,100.0,0.0
AT,2022-09-04,7,4,6,9,1,3,16.7645,2.16,360.0,95.0,6.0
AT,2022-09-04,8,4,6,9,1,3,17.2645,5.0142193,291.03757,60.0,65.0
AT,2022-09-04,9,4,6,9,1,3,18.3145,4.8433046,311.98712,29.0,203.0
AT,2022-09-04,10,4,6,9,1,3,19.5645,3.6,323.13,51.0,375.0
AT,2022-09-04,11,4,6,9,1,3,20.8645,1.9386592,338.19852,23.0,516.0
AT,2022-09-04,12,4,6,9,1,3,22.0145,3.7585104,16.699326,15.0,635.0
AT,2022-09-04,13,4,6,9,1,3,22.8145,4.0249224,26.564985,22.0,698.0
AT,2022-09-04,14,4,6,9,1,3,21.3645,7.928178,92.60251,31.0,690.0
AT,2022-09-04,15,4,6,9,1,3,20.9645,5.991594,147.26479,100.0,407.0
AT,2022-09-04,16,4,6,9,1,3,19.4645,5.1544156,282.09473,96.0,342.0
AT,2022-09-04,17,4,6,9,1,3,19.7645,1.0182338,135.0001,43.0,200.0
AT,2022-09-04,18,4,6,9,1,3,20.1145,3.671294,168.69011,26.0,236.0
AT,2022-09-04,19,4,6,9,1,3,19.2145,1.835647,258.6901,26.0,91.0
AT,2022-09-04,20,4,6,9,1,3,19.1145,0.71999997,270.0,22.0,6.0
AT,2022-09-04,21,4,6,9,1,3,18.914501,5.154415,24.775122,30.0,0.0
AT,2022-09-04,22,4,6,9,1,3,17.7645,6.5693827,99.46225,9.0,0.0
AT,2022-09-04,23,4,6,9,1,3,18.0145,2.968636,165.96373,19.0,0.0
AT,2022-09-05,0,5,0,9,0,3,17.0645,4.6938252,184.39862,2.0,0.0
AT,2022-09-05,1,5,0,9,0,3,17.2145,2.5959969,236.3099,0.0,0.0
AT,2022-09-05,2,5,0,9,0,3,16.6145,4.6102495,218.65984,0.0,0.0
AT,2022-09-05,3,5,0,9,0,3,16.5645,3.2399998,90.0,3.0,0.0
AT,2022-09-05,4,5,0,9,0,3,14.764501,6.130579,93.366394,1.0,0.0
AT,2022-09-05,5,5,0,9,0,3,14.6145,6.297428,120.963684,0.0,0.0
AT,2022-09-05,6,5,0,9,0,3,15.064501,4.1046314,164.74483,100.0,0.0
AT,2022-09-05,7,5,0,9,0,3,15.014501,2.4149535,116.56499,100.0,16.0
AT,2022-09-05,8,5,0,9,0,3,15.9645,2.9024127,97.12492,38.0,130.0
AT,2022-09-05,9,5,0,9,0,3,17.4645,4.829907,116.56499,15.0,292.0
AT,2022-09-05,10,5,0,9,0,3,19.1145,6.28713,113.62939,5.0,450.0
