zone,date,hour,day,weekday,month,weekend,season,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation
AT,2022-07-01,1,1,4,7,1,2,25.0145,2.9024127,352.87506,4.0,0.0
AT,2022-07-01,2,1,4,7,1,2,21.914501,10.8955765,262.40546,0.0,0.0
AT,2022-07-01,3,1,4,7,1,2,21.2645,8.854829,296.56497,100.0,0.0
AT,2022-07-01,4,1,4,7,1,2,19.8645,8.534353,297.64587,98.0,0.0
AT,2022-07-01,5,1,4,7,1,2,21.414501,1.2979984,146.3099,100.0,0.0
AT,2022-07-01,6,1,4,7,1,2,21.1145,2.52,360.0,1.0,19.0
AT,2022-07-01,7,1,4,7,1,2,22.4645,7.42159,309.09384,86.0,132.0
AT,2022-07-01,8,1,4,7,1,2,23.9645,14.145756,284.74362,100.0,239.0
AT,2022-07-01,9,1,4,7,1,2,25.1145,22.314192,280.2221,100.0,399.0
AT,2022-07-01,10,1,4,7,1,2,26.0645,22.253124,279.30988,100.0,573.0
AT,2022-07-01,11,1,4,7,1,2,27.164501,20.345573,283.29858,41.0,697.0
AT,2022-07-01,12,1,4,7,1,2,28.1145,17.902534,285.1541,25.0,802.0
AT,2022-07-01,13,1,4,7,1,2,28.7145,14.84318,284.03625,7.0,846.0
AT,2022-07-01,14,1,4,7,1,2,29.664501,6.4096174,308.15726,19.0,826.0
AT,2022-07-01,15,1,4,7,1,2,29.0645,10.233123,320.7106,100.0,617.0
AT,2022-07-01,16,1,4,7,1,2,28.3145,13.783817,319.23648,98.0,493.0
AT,2022-07-01,17,1,4,7,1,2,28.664501,12.181624,325.84024,85.0,477.0
AT,2022-07-01,18,1,4,7,1,2,27.5645,16.279802,305.0959,77.0,404.0
AT,2022-07-01,19,1,4,7,1,2,21.5645,30.121912,294.7273,89.0,129.0
AT,2022-07-01,20,1,4,7,1,2,19.2145,40.68,277.62805,99.0,82.0
AT,2022-07-01,21,1,4,7,1,2,18.4645,33.58821,289.40607,98.0,15.0
AT,2022-07-01,22,1,4,7,1,2,18.5145,32.36398,295.7099,99.0,0.0
AT,2022-07-01,23,1,4,7,1,2,17.914501,29.462873,296.87805,2.0,0.0
AT,2022-07-02,0,2,5,7,1,2,17.1145,29.49804,293.7495,44.0,0.0
AT,2022-07-02,1,2,5,7,1,2,16.5145,26.576681,298.30066,19.0,0.0
AT,2022-07-02,2,2,5,7,1,2,16.0145,19.969458,303.9766,7.0,0.0
AT,2022-07-02,3,2,5,7,1,2,15.8645,24.26998,302.2756,40.0,0.0
AT,2022-07-02,4,2,5,7,1,2,15.314501,21.166653,311.55252,13.0,0.0
AT,2022-07-02,5,2,5,7,1,2,14.814501,21.38897,313.63614,9.0,0.0
AT,2022-07-02,6,2,5,7,1,2,14.9145,21.710716,310.29205,10.0,28.0
AT,2022-07-02,7,2,5,7,1,2,15.8645,21.533897,308.21106,34.0,137.0
AT,2022-07-02,8,2,5,7,1,2,16.9645,21.566973,303.42484,1.0,268.0
AT,2022-07-02,9,2,5,7,1,2,18.5145,20.592503,306.46933,0.0,456.0
AT,2022-07-02,10,2,5,7,1,2,20.0145,19.881649,317.93573,4.0,620.0
AT,2022-07-02,11,2,5,7,1,2,21.2645,18.58451,328.46524,29.0,706.0
AT,2022-07-02,12,2,5,7,1,2,22.2645,16.179985,339.14545,9.0,748.0
AT,2022-07-02,13,2,5,7,1,2,23.414501,13.910169,349.5626,0.0,870.0
AT,2022-07-02,14,2,5,7,1,2,23.3645,11.966953,338.83865,1.0,882.0
AT,2022-07-02,15,2,5,7,1,2,23.8145,12.849528,348.6901,0.0,827.0
AT,2022-07-02,16,2,5,7,1,2,24.2645,12.429127,349.99207,0.0,739.0
AT,2022-07-02,17,2,5,7,1,2,24.2645,13.5515,343.0091,0.0,611.0
AT,2022-07-02,18,2,5,7,1,2,24.0645,13.324863,1.5481218,0.0,458.0
AT,2022-07-02,19,2,5,7,1,2,23.2645,12.57426,23.629398,0.0,293.0
AT,2022-07-02,20,2,5,7,1,2,21.4645,9.220499,38.65983,0.0,137.0
AT,2022-07-02,21,2,5,7,1,2,18.914501,7.145796,49.085716,0.0,26.0
AT,2022-07-02,22,2,5,7,1,2,17.664501,7.491114,54.782326,0.0,0.0
AT,2022-07-02,23,2,5,7,1,2,16.6145,8.669949,41.63345,0.0,0.0
AT,2022-07-03,0,3,6,7,1,2,15.6145,8.12197,347.19574,0.0,0.0
AT,2022-07-03,1,3,6,7,1,2,15.564501,6.9527545,338.74942,0.0,0.0
AT,2022-07-03,2,3,6,7,1,2,15.9145,5.1919937,303.6901,0.0,0.0
AT,2022-07-03,3,3,6,7,1,2,15.9145,5.3999996,306.86996,10.0,0.0
AT,2022-07-03,4,3,6,7,1,2,14.4645,9.0645685,6.842679,17.0,0.0
AT,2022-07-03,5,3,6,7,1,2,13.9145,7.5685663,2.7262611,1.0,0.0
AT,2022-07-03,6,3,6,7,1,2,15.2145,5.4833565,336.8014,92.0,29.0
AT,2022-07-03,7,3,6,7,1,2,16.8645,5.3517847,317.72638,6.0,130.0
AT,2022-07-03,8,3,6,7,1,2,18.4645,4.510787,331.38962,9.0,292.0
AT,2022-07-03,9,3,6,7,1,2,20.2645,3.8939953,326.3099,10.0,451.0
AT,2022-07-03,10,3,6,7,1,2,22.164501,4.829907,333.43503,20.0,605.0
AT,2022-07-03,11,3,6,7,1,2,23.7145,4.452954,345.9637,13.0,734.0
AT,2022-07-03,12,3,6,7,1,2,25.0645,5.4833565,336.8014,1.0,821.0
AT,2022-07-03,13,3,6,7,1,2,26.5145,6.297428,329.03632,0.0,866.0
AT,2022-07-03,14,3,6,7,1,2,27.4645,10.739832,320.44037,1.0,865.0
AT,2022-07-03,15,3,6,7,1,2,28.0145,13.608762,307.47626,17.0,810.0
AT,2022-07-03,16,3,6,7,1,2,28.2145,12.599998,323.13,11.0,687.0
AT,2022-07-03,17,3,6,7,1,2,28.2145,10.00256,329.74365,2.0,600.0
AT,2022-07-03,18,3,6,7,1,2,27.9645,7.8625183,344.05453,1.0,445.0
AT,2022-07-03,19,3,6,7,1,2,27.4645,6.489992,19.440128,2.0,282.0
AT,2022-07-03,20,3,6,7,1,2,25.2145,5.00128,59.743652,0.0,132.0
AT,2022-07-03,21,3,6,7,1,2,25.3145,6.638072,77.4712,0.0,25.0
AT,2022-07-03,22,3,6,7,1,2,24.664501,4.829907,26.564985,0.0,0.0
AT,2022-07-03,23,3,6,7,1,2,24.164501,1.9386592,248.19853,1.0,0.0
AT,2022-07-04,0,4,0,7,0,2,20.414501,7.386582,223.02507,1.0,0.0
AT,2022-07-04,1,4,0,7,0,2,19.7145,8.913181,226.63654,0.0,0.0
AT,2022-07-04,2,4,0,7,0,2,17.8645,2.968636,255.96373,0.0,0.0
AT,2022-07-04,3,4,0,7,0,2,17.5145,2.8799999,270.0,54.0,0.0
AT,2022-07-04,4,4,0,7,0,2,17.2145,4.8965297,323.97253,31.0,0.0
AT,2022-07-04,5,4,0,7,0,2,19.9645,1.484318,345.9637,33.0,0.0
AT,2022-07-04,6,4,0,7,0,2,19.2645,3.096837,305.53775,29.0,27.0
AT,2022-07-04,7,4,0,7,0,2,21.5645,5.0911684,351.87,93.0,135.0
AT,2022-07-04,8,4,0,7,0,2,23.2145,5.154415,24.775122,28.0,271.0
AT,2022-07-04,9,4,0,7,0,2,24.914501,5.0911684,8.130019,17.0,427.0
AT,2022-07-04,10,4,0,7,0,2,26.8145,5.904439,322.43134,7.0,599.0
AT,2022-07-04,11,4,0,7,0,2,28.414501,10.787993,295.7099,25.0,708.0
AT,2022-07-04,12,4,0,7,0,2,29.0145,13.5515,286.9909,100.0,647.0
AT,2022-07-04,13,4,0,7,0,2,27.7145,15.484185,287.5925,28.0,397.0
AT,2022-07-04,14,4,0,7,0,2,29.414501,8.707237,330.25522,66.0,705.0
AT,2022-07-04,15,4,0,7,0,2,26.8645,12.181624,325.84024,99.0,362.0
AT,2022-07-04,16,4,0,7,0,2,27.2645,3.6,216.86998,89.0,434.0
AT,2022-07-04,17,4,0,7,0,2,27.9645,7.0911775,203.9625,100.0,527.0
AT,2022-07-04,18,4,0,7,0,2,27.3145,6.924738,261.02747,99.0,262.0
AT,2022-07-04,19,4,0,7,0,2,26.8645,8.287822,235.6196,100.0,206.0
AT,2022-07-04,20,4,0,7,0,2,24.914501,8.699793,245.55606,100.0,44.0
AT,2022-07-04,21,4,0,7,0,2,23.6145,8.049845,243.43501,100.0,9.0
AT,2022-07-04,22,4,0,7,0,2,22.7645,8.39657,239.0363,100.0,0.0
AT,2022-07-04,23,4,0,7,0,2,21.914501,6.28713,256.75946,100.0,0.0
AT,2022-07-05,0,5,1,7,0,2,21.164501,7.6367526,261.87,100.0,0.0
AT,2022-07-05,1,5,1,7,0,2,20.3645,3.2599385,263.6599,100.0,0.0
AT,2022-07-05,2,5,1,7,0,2,19.8645,8.209263,217.87505,100.0,0.0
AT,2022-07-05,3,5,1,7,0,2,19.3645,6.3690495,222.70937,100.0,0.0
AT,2022-07-05,4,5,1,7,0,2,18.5645,7.24486,243.43501,100.0,0.0
AT,2022-07-05,5,5,1,7,0,2,19.6145,12.959999,270.0,100.0,0.0
AT,2022-07-05,6,5,1,7,0,2,19.7145,19.562946,282.75754,100.0,13.0
AT,2022-07-05,7,5,1,7,0,2,19.664501,18.861387,283.24054,100.0,39.0
AT,2022-07-05,8,5,1,7,0,2,19.2645,19.813087,294.7024,100.0,38.0
AT,2022-07-05,9,5,1,7,0,2,19.3145,17.555305,285.46127,100.0,59.0
AT,2022-07-05,10,5,1,7,0,2,19.5145,18.388212,293.05133,100.0,87.0
AT,2022-07-05,11,5,1,7,0,2,19.5645,17.782686,301.75943,100.0,91.0
AT,2022-07-05,12,5,1,7,0,2,20.3645,17.287498,301.37296,100.0,215.0
AT,2022-07-05,13,5,1,7,0,2,20.3645,17.713316,307.56866,100.0,165.0
AT,2022-07-05,14,5,1,7,0,2,21.6145,25.741888,312.16583,100.0,207.0
AT,2022-07-05,15,5,1,7,0,2,22.3145,22.065973,326.3099,100.0,285.0
AT,2022-07-05,16,5,1,7,0,2,20.7145,21.42227,335.15762,100.0,117.0
AT,2022-07-05,17,5,1,7,0,2,20.9645,22.238562,330.9455,75.0,303.0
AT,2022-07-05,18,5,1,7,0,2,21.5145,22.406927,336.3179,93.0,403.0
AT,2022-07-05,19,5,1,7,0,2,21.2145,17.58481,337.1094,99.0,237.0
AT,2022-07-05,20,5,1,7,0,2,20.5145,15.137133,334.65387,66.0,110.0
AT,2022-07-05,21,5,1,7,0,2,19.2145,14.113652,322.25314,14.0,22.0
AT,2022-07-05,22,5,1,7,0,2,18.3645,14.88242,327.84772,5.0,0.0
AT,2022-07-05,23,5,1,7,0,2,18.0145,13.53236,331.38962,0.0,0.0
AT,2022-07-06,0,6,2,7,0,2,17.414501,12.599998,306.86996,0.0,0.0
AT,2022-07-06,1,6,2,7,0,2,17.164501,14.658676,294.67685,0.0,0.0
AT,2022-07-06,2,6,2,7,0,2,17.2645,13.70839,299.93143,0.0,0.0
AT,2022-07-06,3,6,2,7,0,2,17.0145,14.693999,300.96368,15.0,0.0
AT,2022-07-06,4,6,2,7,0,2,16.914501,12.819235,308.15726,47.0,0.0
AT,2022-07-06,5,6,2,7,0,2,16.3145,10.587918,305.31128,16.0,0.0
AT,2022-07-06,6,6,2,7,0,2,17.1145,11.923557,298.88647,13.0,25.0
AT,2022-07-06,7,6,2,7,0,2,19.0145,12.594856,300.96368,1.0,132.0
AT,2022-07-06,8,6,2,7,0,2,21.3145,12.594856,300.96368,10.0,288.0
AT,2022-07-06,9,6,2,7,0,2,22.6145,13.397612,300.69965,6.0,441.0
AT,2022-07-06,10,6,2,7,0,2,21.664501,16.854767,289.9832,89.0,587.0
AT,2022-07-06,11,6,2,7,0,2,20.8645,17.25373,336.6444,35.0,491.0
AT,2022-07-06,12,6,2,7,0,2,22.0645,13.044722,320.59937,30.0,657.0
AT,2022-07-06,13,6,2,7,0,2,23.1145,13.830749,321.34018,36.0,719.0
AT,2022-07-06,14,6,2,7,0,2,20.8145,8.654986,286.92758,23.0,802.0
AT,2022-07-06,15,6,2,7,0,2,23.2145,13.089354,328.4958,32.0,728.0
AT,2022-07-06,16,6,2,7,0,2,22.2645,18.03237,296.05344,95.0,544.0
AT,2022-07-06,17,6,2,7,0,2,20.9645,14.33234,295.27768,2.0,310.0
AT,2022-07-06,18,6,2,7,0,2,22.3145,11.885453,305.13428,12.0,451.0
AT,2022-07-06,19,6,2,7,0,2,22.0145,12.4811535,303.23172,5.0,265.0
AT,2022-07-06,20,6,2,7,0,2,20.7145,12.9249525,282.875,19.0,126.0
AT,2022-07-06,21,6,2,7,0,2,19.0645,9.0645685,276.84268,8.0,21.0
AT,2022-07-06,22,6,2,7,0,2,17.8145,7.771331,283.39252,5.0,0.0
AT,2022-07-06,23,6,2,7,0,2,16.9645,7.5170207,286.6993,9.0,0.0
AT,2022-07-07,0,7,3,7,0,2,15.814501,5.991594,302.7352,14.0,0.0
AT,2022-07-07,1,7,3,7,0,2,15.4645,6.12,298.0724,6.0,0.0
AT,2022-07-07,2,7,3,7,0,2,19.8145,3.2399998,360.0,37.0,0.0
AT,2022-07-07,3,7,3,7,0,2,16.9645,6.1305785,319.7637,90.0,0.0
AT,2022-07-07,4,7,3,7,0,2,15.564501,6.849467,3.0127327,100.0,0.0
AT,2022-07-07,5,7,3,7,0,2,15.764501,4.379589,350.53775,100.0,0.0
AT,2022-07-07,6,7,3,7,0,2,16.2645,3.7064266,209.0545,100.0,9.0
AT,2022-07-07,7,7,3,7,0,2,17.3145,7.653705,228.81418,100.0,58.0
AT,2022-07-07,8,7,3,7,0,2,19.0145,7.5599995,180.0,62.0,172.0
AT,2022-07-07,9,7,3,7,0,2,21.5645,8.534353,242.35411,100.0,413.0
AT,2022-07-07,10,7,3,7,0,2,22.6145,22.392462,274.61057,100.0,540.0
AT,2022-07-07,11,7,3,7,0,2,22.0645,22.366402,273.6913,100.0,415.0
AT,2022-07-07,12,7,3,7,0,2,21.664501,23.828083,274.3322,100.0,445.0
AT,2022-07-07,13,7,3,7,0,2,21.2145,22.505037,277.3523,100.0,314.0
AT,2022-07-07,14,7,3,7,0,2,18.8645,23.42491,267.3575,100.0,406.0
AT,2022-07-07,15,7,3,7,0,2,18.4645,23.499481,264.7262,100.0,229.0
AT,2022-07-07,16,7,3,7,0,2,19.0645,24.881702,273.31772,100.0,300.0
AT,2022-07-07,17,7,3,7,0,2,20.0145,25.420181,282.26477,100.0,320.0
AT,2022-07-07,18,7,3,7,0,2,20.164501,21.479666,283.57043,100.0,303.0
AT,2022-07-07,19,7,3,7,0,2,18.664501,20.519999,270.0,100.0,170.0
AT,2022-07-07,20,7,3,7,0,2,17.1145,21.077686,277.8532,100.0,85.0
AT,2022-07-07,21,7,3,7,0,2,17.2645,20.06334,279.2932,100.0,16.0
AT,2022-07-07,22,7,3,7,0,2,16.9645,18.64369,280.0079,100.0,0.0
AT,2022-07-07,23,7,3,7,0,2,16.7645,19.386591,285.06854,100.0,0.0
AT,2022-07-08,0,8,4,7,1,2,16.3645,19.9954,283.53586,100.0,0.0
AT,2022-07-08,1,8,4,7,1,2,16.1645,18.556595,288.08353,100.0,0.0
AT,2022-07-08,2,8,4,7,1,2,15.4645,18.043148,298.61035,100.0,0.0
AT,2022-07-08,3,8,4,7,1,2,15.4145,15.844089,291.318,100.0,0.0
AT,2022-07-08,4,8,4,7,1,2,15.014501,21.611996,299.98157,97.0,0.0
AT,2022-07-08,5,8,4,7,1,2,15.064501,18.971008,303.38855,31.0,0.0
AT,2022-07-08,6,8,4,7,1,2,14.814501,17.873556,304.33026,94.0,16.0
AT,2022-07-08,7,8,4,7,1,2,15.6645,19.681828,320.1945,100.0,54.0
AT,2022-07-08,8,8,4,7,1,2,16.1645,22.870626,331.8215,93.0,105.0
AT,2022-07-08,9,8,4,7,1,2,16.7645,25.992397,329.1724,70.0,222.0
AT,2022-07-08,10,8,4,7,1,2,17.914501,28.277763,328.5359,52.0,422.0
AT,2022-07-08,11,8,4,7,1,2,18.4645,26.260265,326.74564,67.0,405.0
AT,2022-07-08,12,8,4,7,1,2,19.5145,25.460936,326.5346,28.0,447.0
AT,2022-07-08,13,8,4,7,1,2,19.664501,25.812277,320.09216,26.0,383.0
AT,2022-07-08,14,8,4,7,1,2,17.6145,32.169178,301.73346,34.0,645.0
AT,2022-07-08,15,8,4,7,1,2,18.664501,30.631746,299.57773,100.0,420.0
AT,2022-07-08,16,8,4,7,1,2,18.0645,29.795301,295.01685,100.0,270.0
AT,2022-07-08,17,8,4,7,1,2,18.0145,27.055143,295.20108,100.0,255.0
AT,2022-07-08,18,8,4,7,1,2,18.4645,24.962307,303.23172,12.0,157.0
AT,2022-07-08,19,8,4,7,1,2,19.0645,27.267473,312.32452,10.0,253.0
AT,2022-07-08,20,8,4,7,1,2,18.6145,23.166216,314.37048,28.0,100.0
AT,2022-07-08,21,8,4,7,1,2,17.8645,21.068459,303.147,19.0,20.0
AT,2022-07-08,22,8,4,7,1,2,16.5645,21.659916,291.4478,26.0,0.0
AT,2022-07-08,23,8,4,7,1,2,15.9145,21.09305,297.43964,80.0,0.0
AT,2022-07-09,0,9,5,7,1,2,15.3645,17.873556,297.5972,73.0,0.0
AT,2022-07-09,1,9,5,7,1,2,15.1645,17.727943,293.9625,2.0,0.0
AT,2022-07-09,2,9,5,7,1,2,15.1145,17.148247,309.0355,4.0,0.0
AT,2022-07-09,3,9,5,7,1,2,15.4145,16.179987,302.27563,68.0,0.0
AT,2022-07-09,4,9,5,7,1,2,15.4145,16.299694,300.52963,68.0,0.0
AT,2022-07-09,5,9,5,7,1,2,15.264501,17.388409,297.09546,91.0,0.0
AT,2022-07-09,6,9,5,7,1,2,15.564501,18.678415,297.55273,49.0,14.0
AT,2022-07-09,7,9,5,7,1,2,16.0145,16.79314,300.96368,14.0,92.0
AT,2022-07-09,8,9,5,7,1,2,17.164501,18.79255,306.43094,13.0,251.0
AT,2022-07-09,9,9,5,7,1,2,18.5145,17.566378,314.16977,12.0,431.0
AT,2022-07-09,10,9,5,7,1,2,20.1145,20.172853,325.17545,40.0,611.0
AT,2022-07-09,11,9,5,7,1,2,21.3645,20.767975,326.3099,42.0,698.0
AT,2022-07-09,12,9,5,7,1,2,22.3645,21.67487,327.89377,62.0,686.0
AT,2022-07-09,13,9,5,7,1,2,22.414501,20.316889,330.25522,100.0,446.0
