zone,date,hour,day,weekday,month,weekend,season,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation
AT,2020-02-01,0,1,5,2,1,0,11.564501,32.35997,290.85452,76.0,0.0
AT,2020-02-01,1,1,5,2,1,0,12.3645,31.89608,286.38962,98.0,0.0
AT,2020-02-01,2,1,5,2,1,0,12.7145,31.76375,287.81897,84.0,0.0
AT,2020-02-01,3,1,5,2,1,0,12.064501,23.587555,285.94547,92.0,0.0
AT,2020-02-01,4,1,5,2,1,0,11.4145,20.418695,279.1301,88.0,0.0
AT,2020-02-01,5,1,5,2,1,0,9.9645,14.264361,259.82455,97.0,0.0
AT,2020-02-01,6,1,5,2,1,0,8.264501,9.983106,244.35904,0.0,0.0
AT,2020-02-01,7,1,5,2,1,0,7.0645,8.4963045,233.61555,0.0,0.0
AT,2020-02-01,8,1,5,2,1,0,7.3145,8.714677,231.7098,0.0,11.0
AT,2020-02-01,9,1,5,2,1,0,9.9645,9.931042,226.46873,0.0,108.0
AT,2020-02-01,10,1,5,2,1,0,12.264501,7.628263,199.29015,0.0,232.0
AT,2020-02-01,11,1,5,2,1,0,14.014501,6.9899354,191.88864,0.0,330.0
AT,2020-02-01,12,1,5,2,1,0,15.2145,8.473393,192.26476,0.0,385.0
AT,2020-02-01,13,1,5,2,1,0,16.0645,9.885262,169.50858,0.0,393.0
AT,2020-02-01,14,1,5,2,1,0,16.0145,6.6087217,150.64235,1.0,350.0
AT,2020-02-01,15,1,5,2,1,0,15.564501,2.0364676,135.0001,1.0,260.0
AT,2020-02-01,16,1,5,2,1,0,12.9645,4.829907,153.43501,0.0,142.0
AT,2020-02-01,17,1,5,2,1,0,9.1645,7.2,180.0,1.0,28.0
AT,2020-02-01,18,1,5,2,1,0,8.6145,11.91812,205.01686,0.0,0.0
AT,2020-02-01,19,1,5,2,1,0,8.6645,10.195057,227.86247,0.0,0.0
AT,2020-02-01,20,1,5,2,1,0,9.1145,11.753876,229.9698,0.0,0.0
AT,2020-02-01,21,1,5,2,1,0,11.9145,17.654688,267.66275,90.0,0.0
AT,2020-02-01,22,1,5,2,1,0,13.064501,32.85678,274.39862,100.0,0.0
AT,2020-02-01,23,1,5,2,1,0,12.4645,35.105072,275.8859,100.0,0.0
AT,2020-02-02,0,2,6,2,1,0,12.4145,34.936695,271.77142,100.0,0.0
AT,2020-02-02,1,2,6,2,1,0,12.064501,26.932714,278.45493,5.0,0.0
AT,2020-02-02,2,2,6,2,1,0,11.814501,27.595823,277.49576,48.0,0.0
AT,2020-02-02,3,2,6,2,1,0,11.2145,33.617138,279.86575,57.0,0.0
AT,2020-02-02,4,2,6,2,1,0,10.514501,33.47032,288.8248,88.0,0.0
