zone,date,hour,day,weekday,month,weekend,season,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation
AT,2021-03-01,0,1,0,3,0,1,1.9145,13.246826,312.7974,0.0,0.0
AT,2021-03-01,1,1,0,3,0,1,2.4145,14.186923,305.7068,0.0,0.0
AT,2021-03-01,2,1,0,3,0,1,2.0145,14.4,306.86996,0.0,0.0
AT,2021-03-01,3,1,0,3,0,1,1.7145,14.689588,306.02747,0.0,0.0
AT,2021-03-01,4,1,0,3,0,1,1.4145,14.799459,311.05472,0.0,0.0
AT,2021-03-01,5,1,0,3,0,1,1.0645001,14.512064,313.995,1.0,0.0
AT,2021-03-01,6,1,0,3,0,1,0.6645,13.246826,317.2026,2.0,0.0
AT,2021-03-01,7,1,0,3,0,1,0.5645,12.538134,320.82635,15.0,4.0
AT,2021-03-01,8,1,0,3,0,1,2.3645,12.819235,321.8427,23.0,86.0
AT,2021-03-01,9,1,0,3,0,1,4.0645,14.345898,342.47433,46.0,206.0
AT,2021-03-01,10,1,0,3,0,1,5.2645,15.542662,346.60748,19.0,320.0
AT,2021-03-01,11,1,0,3,0,1,6.6145,14.154915,352.69434,34.0,447.0
AT,2021-03-01,12,1,0,3,0,1,7.6644998,11.159999,360.0,50.0,496.0
AT,2021-03-01,13,1,0,3,0,1,8.0645,13.339445,3.0939984,77.0,491.0
AT,2021-03-01,14,1,0,3,0,1,8.0645,12.144331,11.976112,61.0,435.0
AT,2021-03-01,15,1,0,3,0,1,7.9645,11.620809,16.189287,28.0,386.0
AT,2021-03-01,16,1,0,3,0,1,7.5145,10.24578,18.435053,3.0,258.0
AT,2021-03-01,17,1,0,3,0,1,6.2145,5.2416787,15.945477,4.0,128.0
AT,2021-03-01,18,1,0,3,0,1,3.0644999,8.825508,348.23172,4.0,14.0
AT,2021-03-01,19,1,0,3,0,1,2.1645,8.587338,326.97614,3.0,0.0
AT,2021-03-01,20,1,0,3,0,1,1.6145,7.9932966,324.16226,4.0,0.0
AT,2021-03-01,21,1,0,3,0,1,0.9645,8.427383,340.0168,2.0,0.0
AT,2021-03-01,22,1,0,3,0,1,0.4645,7.754637,338.19852,2.0,0.0
AT,2021-03-01,23,1,0,3,0,1,-0.03549999,6.489992,326.3099,1.0,0.0
AT,2021-03-02,0,2,1,3,0,1,-0.2855,6.12,331.9276,1.0,0.0
AT,2021-03-02,1,2,1,3,0,1,0.064500004,6.725354,344.47583,1.0,0.0
AT,2021-03-02,2,2,1,3,0,1,-0.2855,4.6800003,292.6199,0.0,0.0
AT,2021-03-02,3,2,1,3,0,1,0.26450002,3.6,306.86996,0.0,0.0
AT,2021-03-02,4,2,1,3,0,1,-0.43549997,4.6800003,337.3801,0.0,0.0
AT,2021-03-02,5,2,1,3,0,1,0.16450001,3.96,360.0,1.0,0.0
