zone,date,hour,day,weekday,month,weekend,season,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation
AT,2020-05-01,1,1,4,5,1,1,15.064501,11.620809,163.81073,100.0,0.0
AT,2020-05-01,2,1,4,5,1,1,14.564501,17.462784,278.29706,100.0,0.0
AT,2020-05-01,3,1,4,5,1,1,13.564501,24.94413,290.26578,98.0,0.0
AT,2020-05-01,4,1,4,5,1,1,12.014501,26.980793,288.6768,94.0,0.0
AT,2020-05-01,5,1,4,5,1,1,10.764501,25.872454,291.2093,100.0,0.0
AT,2020-05-01,6,1,4,5,1,1,10.6145,19.721298,291.41302,100.0,1.0
AT,2020-05-01,7,1,4,5,1,1,10.764501,17.072504,294.94388,100.0,19.0
AT,2020-05-01,8,1,4,5,1,1,11.264501,16.311613,292.0363,100.0,49.0
AT,2020-05-01,9,1,4,5,1,1,12.764501,14.007655,295.90643,96.0,185.0
AT,2020-05-01,10,1,4,5,1,1,15.4645,14.973577,297.18103,85.0,488.0
AT,2020-05-01,11,1,4,5,1,1,16.5145,15.2947035,296.56497,94.0,532.0
AT,2020-05-01,12,1,4,5,1,1,17.2645,16.09969,296.56497,50.0,589.0
AT,2020-05-01,13,1,4,5,1,1,18.3145,14.33234,295.27768,31.0,666.0
AT,2020-05-01,14,1,4,5,1,1,17.8645,20.870687,284.99512,28.0,689.0
AT,2020-05-01,15,1,4,5,1,1,18.7145,18.075441,315.80682,56.0,645.0
AT,2020-05-01,16,1,4,5,1,1,19.164501,8.942214,310.10083,34.0,635.0
AT,2020-05-01,17,1,4,5,1,1,19.6145,8.049845,280.30478,56.0,521.0
AT,2020-05-01,18,1,4,5,1,1,19.3145,12.0694,252.64589,38.0,358.0
AT,2020-05-01,19,1,4,5,1,1,17.8645,7.5942082,238.57048,4.0,117.0
AT,2020-05-01,20,1,4,5,1,1,14.814501,6.924738,188.97255,93.0,46.0
AT,2020-05-01,21,1,4,5,1,1,14.8645,12.620554,183.27042,97.0,0.0
AT,2020-05-01,22,1,4,5,1,1,14.1145,12.313893,195.25517,100.0,0.0
AT,2020-05-01,23,1,4,5,1,1,13.6645,12.7279215,208.7397,100.0,0.0
AT,2020-05-02,0,2,5,5,1,1,13.6145,12.074766,243.43501,100.0,0.0
AT,2020-05-02,1,2,5,5,1,1,13.2145,20.972897,309.42776,87.0,0.0
AT,2020-05-02,2,2,5,5,1,1,11.3645,13.1041975,290.92456,98.0,0.0
AT,2020-05-02,3,2,5,5,1,1,11.064501,15.893093,283.0919,79.0,0.0
AT,2020-05-02,4,2,5,5,1,1,11.3645,18.214718,288.43503,74.0,0.0
AT,2020-05-02,5,2,5,5,1,1,11.014501,19.721298,291.41302,3.0,0.0
AT,2020-05-02,6,2,5,5,1,1,10.314501,18.720001,292.6199,1.0,4.0
AT,2020-05-02,7,2,5,5,1,1,11.564501,18.057508,293.49857,0.0,84.0
AT,2020-05-02,8,2,5,5,1,1,13.264501,22.33161,290.77234,0.0,240.0
AT,2020-05-02,9,2,5,5,1,1,14.814501,25.14852,293.6294,0.0,414.0
AT,2020-05-02,10,2,5,5,1,1,15.8645,27.748037,292.9058,84.0,546.0
AT,2020-05-02,11,2,5,5,1,1,15.9145,29.28418,290.88586,16.0,620.0
AT,2020-05-02,12,2,5,5,1,1,17.0145,27.66384,288.19925,25.0,695.0
AT,2020-05-02,13,2,5,5,1,1,17.8645,28.883131,292.72977,5.0,802.0
AT,2020-05-02,14,2,5,5,1,1,17.414501,30.430117,280.91107,2.0,807.0
AT,2020-05-02,15,2,5,5,1,1,17.8145,28.036118,282.6086,0.0,800.0
AT,2020-05-02,16,2,5,5,1,1,17.7145,25.620771,289.70807,0.0,691.0
AT,2020-05-02,17,2,5,5,1,1,17.6145,24.884306,284.2373,54.0,529.0
AT,2020-05-02,18,2,5,5,1,1,16.5145,19.386591,254.93146,2.0,313.0
