date,hour,day_x,weekday_x,month_x,weekend_x,season_x,EP_lag_1,EP_lag_24,DAHTL_TotalLoadValue,DAHTL_lag_1h,DAHTL_lag_24h,ATL_TotalLoadValue,ATL_lag_1h,ATL_lag_24h,Fossil_Gas_Capacity,Fossil_Gas_Output,Fossil_Gas_Utilization,Hydro_Pumped_Storage_Capacity,Hydro_Pumped_Storage_Output,Hydro_Pumped_Storage_Utilization,Hydro_Water_Reservoir_Capacity,Hydro_Water_Reservoir_Output,Hydro_Water_Reservoir_Utilization,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation,temperature_2m_lag1,wind_speed_10m_lag1,wind_direction_10m_lag1,cloudcover_lag1,shortwave_radiation_lag1,temperature_2m_lag24,wind_speed_10m_lag24,wind_direction_10m_lag24,cloudcover_lag24,shortwave_radiation_lag24,Natural_Gas_price_EUR,Natural_Gas_price_EUR_lag_1d,Coal_price_EUR,Coal_price_EUR_lag_1d,Oil_price_EUR,Oil_price_EUR_lag_1d,Carbon_Emission_price_EUR,Carbon_Emission_price_EUR_lag_1d,Electricity_price_MWh
2025-01-01 00:00:00,0,1,2,1,0,0,0.0,0.0,2144.09,0.0,0.0,2272.18,0.0,0.0,147.0,0.0,0.0,290.0,0.0,0.0,4280.0,552.65,0.1291238317757009,-3.4765,19.080849,27.531895,100.0,0.0,-3.4264998,21.0846,31.383139,100.0,0.0,-5.7765,12.351987,316.77145,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.09
2025-01-01 01:00:00,1,1,2,1,0,0,18.09,0.0,2102.69,2144.09,0.0,2284.04,2272.18,0.0,147.0,0.0,0.0,290.0,0.0,0.0,4280.0,878.14,0.2051728971962616,-3.4264998,19.15288,21.501507,100.0,0.0,-3.4765,19.080849,27.531895,100.0,0.0,-7.5265,6.59154,325.0079,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.84
2025-01-01 02:00:00,2,1,2,1,0,0,21.84,0.0,2083.93,2102.69,0.0,2249.64,2284.04,0.0,147.0,0.0,0.0,290.0,0.0,0.0,4280.0,1014.5,0.2370327102803738,-3.3265,15.94601,28.30066,100.0,0.0,-3.4264998,19.15288,21.501507,100.0,0.0,-5.7765,6.763786,295.20108,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.12
2025-01-01 03:00:00,3,1,2,1,0,0,23.12,0.0,2054.67,2083.93,0.0,2406.34,2249.64,0.0,147.0,0.0,0.0,290.0,0.0,0.0,4280.0,1324.84,0.3095420560747663,-3.4264998,15.086748,19.515972,100.0,0.0,-3.3265,15.94601,28.30066,100.0,0.0,-3.7765002,8.36758,288.8248,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.69
2025-01-01 04:00:00,4,1,2,1,0,0,25.69,0.0,2069.1,2054.67,0.0,2263.98,2406.34,0.0,147.0,0.0,0.0,290.0,0.0,0.0,4280.0,1530.34,0.3575560747663551,-3.5765,11.995349,25.795975,100.0,0.0,-3.4264998,15.086748,19.515972,100.0,0.0,-3.4264998,6.279395,297.2995,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.11
2025-01-01 05:00:00,5,1,2,1,0,0,27.11,0.0,2101.33,2069.1,0.0,2257.78,2263.98,0.0,147.0,0.0,0.0,290.0,0.0,0.0,4280.0,711.81,0.1663107476635514,-4.0265,13.070776,22.680603,100.0,0.0,-4.0265,13.070776,22.680603,100.0,0.0,-3.0765,3.710795,309.09384,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.16
2025-01-01 06:00:00,6,1,2,1,0,0,20.16,0.0,2147.72,2101.33,0.0,2301.38,2257.78,0.0,147.0,0.0,0.0,290.0,0.0,0.0,4280.0,813.34,0.1900327102803738,-4.4265,13.433838,17.949495,100.0,0.0,-4.0265,13.070776,22.680603,100.0,0.0,-2.2265,1.0948973,350.53775,100.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.09
2025-01-01 07:00:00,7,1,2,1,0,0,21.09,0.0,2182.18,2147.72,0.0,2361.46,2301.38,0.0,147.0,0.0,0.0,290.0,0.0,0.0,4280.0,1022.71,0.2389509345794392,-4.5765,12.74954,13.055255,100.0,0.0,-4.4265,13.433838,17.949495,100.0,0.0,-3.2265,1.9134263,48.814175,100.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.34
2025-01-01 08:00:00,8,1,2,1,0,0,21.34,0.0,2231.69,2182.18,0.0,2429.28,2361.46,0.0,147.0,0.0,0.0,290.0,0.0,0.0,4280.0,1297.44,0.3031401869158878,-4.6765,11.903159,20.353325,100.0,0.0,-4.5765,12.74954,13.055255,100.0,0.0,-3.3765001,7.748368,59.264584,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2
2025-01-01 09:00:00,9,1,2,1,0,0,23.2,0.0,2269.31,2231.69,0.0,2505.28,2429.28,0.0,147.0,0.0,0.0,290.0,0.0,0.0,4280.0,1467.31,0.3428294392523364,-4.7765,13.451914,12.362483,100.0,0.0,-4.6765,11.903159,20.353325,100.0,0.0,-3.5265002,10.158444,60.25522,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.43
