date,hour,day_x,weekday_x,month_x,weekend_x,season_x,EP_lag_1,EP_lag_24,DAHTL_TotalLoadValue,DAHTL_lag_1h,DAHTL_lag_24h,ATL_TotalLoadValue,ATL_lag_1h,ATL_lag_24h,Biomass_Capacity,Biomass_Output,Biomass_Utilization,Fossil_Oil_Capacity,Fossil_Oil_Output,Fossil_Oil_Utilization,Wind_Offshore_Capacity,Wind_Offshore_Output,Wind_Offshore_Utilization,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation,temperature_2m_lag1,wind_speed_10m_lag1,wind_direction_10m_lag1,cloudcover_lag1,shortwave_radiation_lag1,temperature_2m_lag24,wind_speed_10m_lag24,wind_direction_10m_lag24,cloudcover_lag24,shortwave_radiation_lag24,Natural_Gas_price_EUR,Natural_Gas_price_EUR_lag_1d,Coal_price_EUR,Coal_price_EUR_lag_1d,Oil_price_EUR,Oil_price_EUR_lag_1d,Carbon_Emission_price_EUR,Carbon_Emission_price_EUR_lag_1d,Electricity_price_MWh
2025-01-01 00:00:00,0,1,2,1,0,0,0.0,0.0,1520.0,0.0,0.0,1531.57,0.0,0.0,964.0,160.43,0.1664211618257261,520.0,0.57,0.0010961538461538,976.6,511.1799999999999,0.5234282203563383,5.4675,39.334427,225.92694,100.0,0.0,5.3675003,36.031036,223.58315,100.0,0.0,8.6675,32.79015,255.04826,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93
2025-01-01 01:00:00,1,1,2,1,0,0,1.93,0.0,1469.0,1520.0,0.0,1475.6,1531.57,0.0,964.0,173.99,0.1804875518672199,520.0,0.56,0.001076923076923,976.6,178.51,0.1827872209707147,5.5675,40.11739,226.99998,100.0,0.0,5.4675,39.334427,225.92694,100.0,0.0,8.617499,27.288855,261.6562,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93
2025-01-01 02:00:00,2,1,2,1,0,0,1.93,0.0,1446.0,1469.0,0.0,1452.17,1475.6,0.0,964.0,166.77999999999997,0.1730082987551867,520.0,0.56,0.001076923076923,976.6,178.31,0.1825824288347327,5.7675004,40.06931,232.66673,100.0,0.0,5.5675,40.11739,226.99998,100.0,0.0,7.4675,21.518847,287.52567,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43
2025-01-01 03:00:00,3,1,2,1,0,0,1.43,0.0,1411.0,1446.0,0.0,1390.08,1452.17,0.0,964.0,172.99,0.1794502074688796,520.0,0.56,0.001076923076923,976.6,367.89,0.3767048945320499,5.7175,40.285027,233.53963,100.0,0.0,5.7675004,40.06931,232.66673,100.0,0.0,4.8175,6.544677,301.5042,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04
2025-01-01 04:00:00,4,1,2,1,0,0,1.04,0.0,1383.0,1411.0,0.0,1361.09,1390.08,0.0,964.0,145.66,0.1510995850622406,520.0,0.56,0.001076923076923,976.6,366.91,0.3757014130657382,6.2175,40.8921,235.40048,100.0,0.0,5.7175,40.285027,233.53963,100.0,0.0,4.6675,3.8183763,261.87,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28
2025-01-01 05:00:00,5,1,2,1,0,0,2.28,0.0,1382.0,1383.0,0.0,1363.6,1361.09,0.0,964.0,144.91,0.1503215767634854,520.0,0.56,0.001076923076923,976.6,376.65,0.3856747900880606,6.7675004,43.796257,234.87285,100.0,0.0,6.7675004,43.796257,234.87285,100.0,0.0,6.6675,29.48101,238.73633,100.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15
2025-01-01 06:00:00,6,1,2,1,0,0,1.15,0.0,1407.0,1382.0,0.0,1394.37,1363.6,0.0,964.0,161.37,0.1673962655601659,520.0,0.58,0.0011153846153846,976.6,526.4399999999999,0.5390538603317632,7.1175003,42.588547,235.50389,100.0,0.0,6.7675004,43.796257,234.87285,100.0,0.0,6.1175003,27.81859,237.95535,100.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35
2025-01-01 07:00:00,7,1,2,1,0,0,1.35,0.0,1453.0,1407.0,0.0,1425.4,1394.37,0.0,964.0,194.97,0.2022510373443983,520.0,0.56,0.001076923076923,976.6,857.4499999999999,0.8779950849887364,7.4175,41.389824,237.07014,100.0,0.0,7.1175003,42.588547,235.50389,100.0,0.0,6.8175,28.440567,233.49263,100.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26
2025-01-01 08:00:00,8,1,2,1,0,0,2.26,0.0,1515.0,1453.0,0.0,1501.91,1425.4,0.0,964.0,178.86,0.1855394190871369,520.0,0.56,0.001076923076923,976.6,869.45,0.8902826131476551,7.7175,43.003426,239.57101,100.0,0.0,7.4175,41.389824,237.07014,100.0,0.0,6.3175,27.110773,224.73102,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54
2025-01-01 09:00:00,9,1,2,1,0,0,2.54,0.0,1594.0,1515.0,0.0,1591.27,1501.91,0.0,964.0,176.38,0.1829668049792531,520.0,0.57,0.0010961538461538,976.6,871.26,0.892135981978292,7.7675004,43.897865,239.43924,100.0,0.0,7.7175,43.003426,239.57101,100.0,0.0,5.5175004,30.632803,220.71075,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54
2025-01-01 10:00:00,10,1,2,1,0,0,3.54,0.0,1651.0,1594.0,0.0,1688.98,1591.27,0.0,964.0,184.54,0.1914315352697095,520.0,0.57,0.0010961538461538,976.6,889.57,0.9108847020274422,7.7675004,43.75037,237.94467,100.0,6.0,7.7675004,43.75037,237.94467,100.0,6.0,4.8675003,31.752018,216.93495,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7
2025-01-01 11:00:00,11,1,2,1,0,0,3.7,0.0,1716.0,1651.0,0.0,1769.38,1688.98,0.0,964.0,197.86,0.2052489626556016,520.0,0.56,0.001076923076923,976.6,896.44,0.9179193118984232,7.6675,45.080925,236.5637,100.0,17.0,7.6675,45.080925,236.5637,100.0,17.0,5.3675003,36.031036,223.58315,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75
