date,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation,temperature_2m_lag1,wind_speed_10m_lag1,wind_direction_10m_lag1,cloudcover_lag1,shortwave_radiation_lag1,temperature_2m_lag24,wind_speed_10m_lag24,wind_direction_10m_lag24,cloudcover_lag24,shortwave_radiation_lag24,Natural_Gas_price_EUR,Natural_Gas_price_EUR_lag_1d,Coal_price_EUR,Coal_price_EUR_lag_1d,Oil_price_EUR,Oil_price_EUR_lag_1d,Carbon_Emission_price_EUR,Carbon_Emission_price_EUR_lag_1d
2025-01-01 00:00:00,8.80925,5.0152874,250.38132,50.0,0.0,8.9592495,5.7776346,251.87317,57.5,0.0,8.68425,3.3499308,255.19157,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 01:00:00,8.88425,3.729564,244.86761,48.5,0.0,8.80925,5.0152874,250.38132,50.0,0.0,8.7092495,3.409751,256.0792,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 02:00:00,9.2092495,3.796116,246.70172,52.5,0.0,8.88425,3.729564,244.86761,48.5,0.0,8.43425,2.803768,242.73169,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 03:00:00,9.00925,2.73459,243.2508,36.0,0.0,9.2092495,3.796116,246.70172,52.5,0.0,8.53425,3.3820329,231.56702,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 04:00:00,9.00925,2.0549448,234.72003,44.0,0.0,9.00925,2.73459,243.2508,36.0,0.0,9.0842495,3.1956415,235.68533,2.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 05:00:00,8.93425,2.2629743,229.85655,55.0,0.0,8.93425,2.2629743,229.85655,55.0,0.0,14.33425,2.5875614,153.35149,0.0,401.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 06:00:00,8.90925,2.4040408,232.13217,0.0,0.0,8.93425,2.2629743,229.85655,55.0,0.0,14.90925,2.9791145,159.22662,0.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 07:00:00,8.55925,2.685021,225.39786,0.0,0.0,8.90925,2.4040408,232.13217,0.0,0.0,15.40925,4.5339727,60.635315,3.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 08:00:00,9.3342495,3.2524672,226.58017,0.0,18.0,8.55925,2.685021,225.39786,0.0,0.0,14.10925,3.666504,92.720184,0.5,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 09:00:00,11.43425,5.158882,216.65033,0.5,140.5,9.3342495,3.2524672,226.58017,0.0,18.0,11.68425,3.8658323,102.0767,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 10:00:00,12.9592495,4.768565,198.79425,1.0,286.5,12.9592495,4.768565,198.79425,1.0,286.5,10.30925,5.110315,262.40814,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 11:00:00,14.03425,4.8612075,189.60754,5.5,399.0,14.03425,4.8612075,189.60754,5.5,399.0,8.9592495,5.7776346,251.87317,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 12:00:00,14.65925,4.745652,197.16043,15.0,460.0,14.03425,4.8612075,189.60754,5.5,399.0,8.80925,5.0152874,250.38132,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 13:00:00,14.93425,4.108783,206.79182,2.5,469.0,14.65925,4.745652,197.16043,15.0,460.0,8.88425,3.729564,244.86761,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
