date,hour,day_x,weekday_x,month_x,weekend_x,season_x,EP_lag_1,EP_lag_24,DAHTL_TotalLoadValue,DAHTL_lag_1h,DAHTL_lag_24h,ATL_TotalLoadValue,ATL_lag_1h,ATL_lag_24h,ftc_ES,Fossil_Gas_Capacity,Fossil_Gas_Output,Fossil_Gas_Utilization,Hydro_Pumped_Storage_Capacity,Hydro_Pumped_Storage_Output,Hydro_Pumped_Storage_Utilization,Hydro_Run_of_river_and_poundage_Capacity,Hydro_Run_of_river_and_poundage_Output,Hydro_Run_of_river_and_poundage_Utilization,Hydro_Water_Reservoir_Capacity,Hydro_Water_Reservoir_Output,Hydro_Water_Reservoir_Utilization,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation,temperature_2m_lag1,wind_speed_10m_lag1,wind_direction_10m_lag1,cloudcover_lag1,shortwave_radiation_lag1,temperature_2m_lag24,wind_speed_10m_lag24,wind_direction_10m_lag24,cloudcover_lag24,shortwave_radiation_lag24,Natural_Gas_price_EUR,Natural_Gas_price_EUR_lag_1d,Coal_price_EUR,Coal_price_EUR_lag_1d,Oil_price_EUR,Oil_price_EUR_lag_1d,Carbon_Emission_price_EUR,Carbon_Emission_price_EUR_lag_1d,Electricity_price_MWh
2025-01-01 00:00:00,0,1,2,1,0,0,0.0,0.0,5501.0,0.0,0.0,5474.7,0.0,0.0,3105.0,3828.0,617.0,0.1611807732497387,3477.0,288.9,0.0830888697152717,2436.0,257.9,0.1058702791461412,1011.0,15.4,0.0152324431256182,6.62875,13.806729,70.20584,0.0,0.0,6.8287497,13.574593,69.62933,0.0,0.0,6.75375,10.366464,66.07602,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.59
2025-01-01 01:00:00,1,1,2,1,0,0,131.59,0.0,5176.0,5501.0,0.0,5281.4,5474.7,0.0,3105.0,3828.0,607.2,0.1586206896551724,3477.0,78.1,0.022461892436008,2436.0,256.2,0.1051724137931034,1011.0,50.7,0.0501483679525222,6.6537504,14.602404,70.37254,0.0,0.0,6.62875,13.806729,70.20584,0.0,0.0,6.87875,10.821853,70.305466,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.49
2025-01-01 02:00:00,2,1,2,1,0,0,131.49,0.0,4829.0,5176.0,0.0,4960.8,5281.4,0.0,3105.0,3828.0,532.3,0.1390543364681295,3477.0,0.0,0.0,2436.0,177.0,0.0726600985221674,1011.0,13.2,0.0130563798219584,6.37875,14.806325,67.944176,0.0,0.0,6.6537504,14.602404,70.37254,0.0,0.0,6.47875,11.613044,68.172264,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.42
2025-01-01 03:00:00,3,1,2,1,0,0,131.42,0.0,4630.0,4829.0,0.0,4676.4,4960.8,0.0,3465.0,3828.0,579.2,0.1513061650992685,3477.0,0.0,0.0,2436.0,196.9,0.0808292282430213,1011.0,13.1,0.0129574678536102,6.00375,14.681883,71.652664,0.0,0.0,6.37875,14.806325,67.944176,0.0,0.0,5.8287497,12.14021,68.58766,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.49
2025-01-01 04:00:00,4,1,2,1,0,0,120.49,0.0,4462.0,4630.0,0.0,4456.5,4676.4,0.0,3465.0,3828.0,599.0,0.156478578892372,3477.0,0.0,0.0,2436.0,204.7,0.0840311986863711,1011.0,13.1,0.0129574678536102,5.65375,14.4228,71.69524,0.0,0.0,6.00375,14.681883,71.652664,0.0,0.0,5.4537497,14.064635,69.32831,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.3
2025-01-01 05:00:00,5,1,2,1,0,0,112.3,0.0,4389.0,4462.0,0.0,4349.6,4456.5,0.0,3465.0,3828.0,575.0999999999999,0.1502351097178683,3477.0,0.4,0.0001150417026171,2436.0,217.7,0.089367816091954,1011.0,13.1,0.0129574678536102,5.35375,14.573017,69.95895,0.0,0.0,5.35375,14.573017,69.95895,0.0,0.0,8.95375,12.417742,68.84723,50.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.3
2025-01-01 06:00:00,6,1,2,1,0,0,112.3,0.0,4487.0,4389.0,0.0,4343.6,4349.6,0.0,3510.0,3828.0,578.8,0.151201671891327,3477.0,201.2,0.0578659764164509,2436.0,225.3,0.092487684729064,1011.0,39.1,0.0386745796241345,5.15375,15.135239,71.85637,0.5,0.0,5.35375,14.573017,69.95895,0.0,0.0,10.37875,11.091074,68.54663,30.5,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.88
2025-01-01 07:00:00,7,1,2,1,0,0,111.88,0.0,4628.0,4487.0,0.0,4353.2,4343.6,0.0,3510.0,3828.0,581.8,0.1519853709508881,3477.0,196.5,0.0565142364106988,2436.0,237.6,0.0975369458128078,1011.0,14.2,0.0140454995054401,5.00375,15.410616,70.7845,20.0,0.0,5.15375,15.135239,71.85637,0.5,0.0,11.97875,9.853973,69.44714,0.5,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.09
2025-01-01 08:00:00,8,1,2,1,0,0,112.09,0.0,4709.0,4628.0,0.0,4355.2,4353.2,0.0,3510.0,3828.0,521.7,0.1362852664576802,3477.0,0.0,0.0,2436.0,204.4,0.0839080459770115,1011.0,13.1,0.0129574678536102,4.85375,15.286891,71.32428,34.0,0.0,5.00375,15.410616,70.7845,20.0,0.0,11.60375,9.870336,66.74816,0.0,233.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.99
2025-01-01 09:00:00,9,1,2,1,0,0,94.99,0.0,5079.0,4709.0,0.0,4587.5,4355.2,0.0,3510.0,3828.0,495.7000000000001,0.1294932079414838,3477.0,0.2,5.752085130859937e-05,2436.0,93.9,0.0385467980295566,1011.0,13.1,0.0129574678536102,5.35375,15.106974,74.71415,13.0,52.0,4.85375,15.286891,71.32428,34.0,0.0,8.92875,11.57598,54.145008,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.01
2025-01-01 10:00:00,10,1,2,1,0,0,50.01,0.0,5218.0,5079.0,0.0,4905.1,4587.5,0.0,2835.0,3828.0,501.8,0.1310867293625914,3477.0,0.0,0.0,2436.0,119.6,0.0490968801313628,1011.0,13.0,0.0128585558852621,6.72875,14.195845,75.24496,4.5,194.5,6.72875,14.195845,75.24496,4.5,194.5,7.62875,13.878906,66.36216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.59
2025-01-01 11:00:00,11,1,2,1,0,0,20.59,0.0,5432.0,5218.0,0.0,5238.4,4905.1,0.0,2835.0,3828.0,626.5999999999999,0.1636886102403343,3477.0,0.0,0.0,2436.0,160.1,0.0657224958949096,1011.0,13.1,0.0129574678536102,8.778749,12.196441,72.54691,6.0,327.0,8.778749,12.196441,72.54691,6.0,327.0,6.8287497,13.574593,69.62933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.11
2025-01-01 12:00:00,12,1,2,1,0,0,28.11,0.0,5554.0,5432.0,0.0,5428.1,5238.4,0.0,2835.0,3828.0,609.5999999999999,0.1592476489028212,3477.0,0.0,0.0,2436.0,153.2,0.0628899835796387,1011.0,13.0,0.0128585558852621,10.42875,9.145597,73.5194,17.0,417.5,8.778749,12.196441,72.54691,6.0,327.0,6.62875,13.806729,70.20584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.63
